Platform,Hashtag,Content_Type,Region,Views,Views_norm,Engagement_Level
Instagram,#Fitness,Video,USA,4844012,1.8910958156432085,High
Twitter,#Dance,Video,USA,3868789,1.4594746200751656,Medium
Twitter,#Viral,Tweet,Australia,2517364,0.9496586315487608,High
Instagram,#Dance,Video,Brazil,1994041,0.7784709433669857,Medium
TikTok,#Education,Shorts,Australia,1402998,0.529585323504276,High
YouTube,#Fashion,Live Stream,Brazil,702950,0.2659509527100919,Low
Instagram,#Education,Tweet,Canada,1599554,0.6244637454026449,High
TikTok,#Tech,Post,Australia,4600976,1.7367162058644487,High
Twitter,#Viral,Shorts,USA,2495410,0.9413766327607344,Low
TikTok,#Dance,Video,Germany,1838563,0.6939966993096157,High
YouTube,#Tech,Shorts,India,2920650,1.1049856320260758,Low
TikTok,#Viral,Video,Germany,1772623,0.6691065310899376,Low
Instagram,#Comedy,Shorts,Australia,2484315,0.969873258208208,High
YouTube,#Comedy,Live Stream,India,4927173,1.8641245515576383,Medium
TikTok,#Challenge,Video,UK,3924183,1.4812492416560683,Low
Instagram,#Music,Post,USA,4646060,1.8138156192072368,Medium
YouTube,#Fitness,Video,USA,3901900,1.4762273595270043,Low
Instagram,#Fashion,Video,Japan,962137,0.3756169998702542,Low
TikTok,#Education,Video,Germany,3859007,1.4566474581576494,Medium
Twitter,#Challenge,Shorts,UK,3837223,1.4475665589590665,Medium
Instagram,#Comedy,Post,UK,1029488,0.4019107403232889,High
Twitter,#Fashion,Post,Germany,879364,0.3317341524202477,Low
TikTok,#Comedy,Live Stream,USA,4828597,1.8226356019871568,Low
YouTube,#Education,Video,India,3487375,1.319397828732281,High
TikTok,#Dance,Tweet,India,3418884,1.290515588164483,High
YouTube,#Challenge,Reel,Brazil,1337059,0.5058569099930335,High
TikTok,#Education,Live Stream,Canada,707841,0.2671865569121198,High
TikTok,#Fitness,Shorts,Australia,1851460,0.6988648900819723,Low
Instagram,#Fashion,Tweet,Canada,1438248,0.5614900984261008,Low
Instagram,#Fashion,Live Stream,Brazil,4027409,1.5722950950129353,Medium
Instagram,#Music,Video,India,3488909,1.3620654141773247,Low
TikTok,#Fitness,Video,USA,1089083,0.4110927976219549,Medium
TikTok,#Fashion,Live Stream,Germany,682046,0.2574497979004941,High
YouTube,#Tech,Live Stream,Brazil,4849297,1.8346612947210907,Low
Instagram,#Challenge,Tweet,USA,4283565,1.6722980553177202,Low
Twitter,#Viral,Post,USA,3940355,1.486472412061314,Low
Instagram,#Education,Reel,Canada,964498,0.376538731117149,High
TikTok,#Tech,Shorts,UK,636824,0.2403799891769532,Low
TikTok,#Comedy,Reel,India,4179125,1.577481411299095,Low
Instagram,#Gaming,Video,Brazil,1292958,0.5047690764602589,Low
Instagram,#Viral,Reel,UK,4103477,1.6019919406244547,Low
Twitter,#Education,Reel,Germany,3529777,1.331584624032238,High
Instagram,#Fashion,Reel,USA,4593170,1.7931674338416,Low
TikTok,#Challenge,Shorts,Brazil,3251679,1.2274012330360131,Medium
Twitter,#Dance,Shorts,Canada,2127698,0.8026597548185465,Medium
YouTube,#Education,Shorts,Australia,4765117,1.8028130107760936,Medium
Twitter,#Fitness,Reel,India,2114283,0.7975990363280038,Low
YouTube,#Fashion,Reel,Canada,4391275,1.6613753038793784,High
TikTok,#Gaming,Post,India,1246500,0.4705125066094749,High
Twitter,#Music,Tweet,Germany,4555977,1.718711669503349,Medium
Twitter,#Gaming,Tweet,India,400424,0.1510572598477141,Medium
Instagram,#Challenge,Video,Brazil,3201846,1.249996402348703,High
Twitter,#Comedy,Tweet,Australia,4253909,1.6047585488919989,Low
TikTok,#Fitness,Live Stream,Australia,1551922,0.5857992060027192,Low
YouTube,#Challenge,Post,Germany,3587143,1.3571436067392235,Medium
Instagram,#Fashion,Video,USA,2252593,0.8794092988719231,High
YouTube,#Challenge,Video,Australia,2547290,0.963730282849264,Medium
YouTube,#Viral,Reel,USA,2946297,1.1146888030683346,Low
Twitter,#Education,Video,India,4459268,1.6822288499355595,Low
Instagram,#Music,Live Stream,Australia,1630617,0.6365906991181446,High
Instagram,#Education,Live Stream,USA,4709770,1.838687918122811,Medium
Instagram,#Fitness,Tweet,Australia,2275387,0.8883080460306361,High
TikTok,#Tech,Tweet,Brazil,2784320,1.050988674210103,High
Twitter,#Music,Tweet,USA,3674194,1.3860649656087352,Medium
YouTube,#Music,Post,UK,2126429,0.8045036182095001,Medium
YouTube,#Fitness,Shorts,USA,1598712,0.6048495334078619,High
Twitter,#Fashion,Video,Australia,3464211,1.3068502916765967,Medium
Twitter,#Fitness,Reel,UK,1519290,0.5731419303389247,Low
Instagram,#Fitness,Tweet,Canada,4888613,1.9085079864787688,High
Twitter,#Viral,Shorts,USA,3712060,1.4003496593368672,Low
Instagram,#Tech,Reel,UK,4003071,1.5627935723162276,Low
Instagram,#Dance,Video,Germany,681752,0.2661550703231926,High
Instagram,#Gaming,Shorts,Germany,4684548,1.8288412830066816,Low
Instagram,#Tech,Video,UK,3916842,1.5291298858746791,High
TikTok,#Dance,Reel,UK,798887,0.3015534094406126,Medium
Twitter,#Gaming,Video,Australia,688077,0.2595724186967704,High
Twitter,#Challenge,Reel,Japan,1520250,0.5735040838798059,Medium
TikTok,#Fashion,Post,Australia,496652,0.1874696970979614,High
TikTok,#Education,Reel,India,479620,0.1810406806418261,Medium
YouTube,#Education,Reel,USA,4221739,1.5972338134196613,Low
Twitter,#Education,Live Stream,Brazil,4425196,1.6693754171804516,High
Instagram,#Comedy,Shorts,UK,4236960,1.6541035255584935,Low
TikTok,#Education,Reel,India,2488223,0.9392218537772544,Low
YouTube,#Dance,Live Stream,UK,2809035,1.062757713131792,Medium
YouTube,#Music,Shorts,Brazil,444252,0.168076310752349,High
Instagram,#Fashion,Reel,India,907575,0.354316067937566,Low
TikTok,#Dance,Post,Canada,2440215,0.92110042223509,Medium
TikTok,#Comedy,Shorts,USA,3982001,1.50307362361126,Medium
Twitter,#Fashion,Reel,Brazil,3802724,1.4345520433269203,High
YouTube,#Dance,Shorts,Australia,3049554,1.153754593699227,Low
YouTube,#Fashion,Video,Germany,3186810,1.2056834136226589,Medium
YouTube,#Gaming,Live Stream,Australia,810296,0.3065637572760177,High
Twitter,#Dance,Post,UK,4459224,1.6822122512316025,High
Instagram,#Viral,Post,USA,741152,0.289344750994753,High
Twitter,#Fashion,Tweet,USA,2945128,1.1110297224461536,Medium
Twitter,#Music,Post,Canada,2302342,0.8685430287702681,High
YouTube,#Fashion,Shorts,Australia,469793,0.1777393782296496,Medium
Twitter,#Comedy,Live Stream,UK,2452099,0.9250378494179168,Low
TikTok,#Tech,Live Stream,UK,2651939,1.0010192268475124,Low
TikTok,#Fitness,Shorts,India,1580449,0.5965672046196855,High
Instagram,#Dance,Tweet,India,4764800,1.8601715566304875,Medium
Twitter,#Comedy,Tweet,Japan,4336145,1.635781526587733,Medium
Instagram,#Viral,Shorts,Japan,4316287,1.6850726804176328,Medium
Twitter,#Gaming,Tweet,Japan,1516746,0.5721822234555896,Medium
TikTok,#Fitness,Post,USA,4497673,1.697722741387691,Medium
YouTube,#Dance,Live Stream,UK,1200639,0.4542443785630444,Medium
YouTube,#Viral,Tweet,USA,3115115,1.1785586486257886,Low
TikTok,#Dance,Tweet,Japan,2177828,0.8220580114274364,Medium
Instagram,#Music,Reel,UK,4422912,1.7266989380204123,Low
Instagram,#Tech,Post,UK,4326885,1.68921012546405,Medium
YouTube,#Music,Live Stream,Germany,4732360,1.7904198741974973,Medium
YouTube,#Gaming,Video,Japan,2510808,0.949927846464358,High
Instagram,#Education,Video,USA,2710672,1.0582427287094267,Low
TikTok,#Fitness,Shorts,Australia,4096796,1.5464049378481108,Medium
YouTube,#Gaming,Live Stream,UK,940184,0.3557050010993457,Low
Twitter,#Viral,Shorts,USA,2184148,0.8239551375089034,High
Instagram,#Challenge,Shorts,Australia,1498512,0.585017083543793,Medium
Instagram,#Dance,Video,Germany,4300552,1.6789297574316562,Low
YouTube,#Challenge,Reel,Japan,3267055,1.2360429473024674,Low
TikTok,#Fitness,Post,Canada,2095875,0.7911234655356062,Low
YouTube,#Education,Shorts,USA,1465227,0.5543474167245891,High
YouTube,#Viral,Reel,Japan,1715566,0.6490595520834221,Low
Instagram,#Fitness,Reel,Brazil,4708687,1.8382651163691528,Medium
YouTube,#Challenge,Tweet,UK,1091635,0.4130042937074916,Medium
TikTok,#Dance,Reel,UK,1111002,0.4193664948801763,Low
YouTube,#Comedy,Post,Japan,869375,0.3289154413718418,Low
Twitter,#Gaming,Video,Japan,2551247,0.9624407653255078,High
YouTube,#Viral,Shorts,India,920528,0.3482684381482545,High
YouTube,#Viral,Shorts,Japan,2846948,1.0771015476436316,Medium
Instagram,#Fashion,Shorts,UK,2801638,1.0937557336247326,Medium
TikTok,#Dance,Video,Canada,1556267,0.587439299738153,Low
TikTok,#Viral,Post,Brazil,1828433,0.6901729594845423,Low
YouTube,#Dance,Post,UK,3988715,1.5090725575631758,Medium
TikTok,#Fashion,Video,Canada,3290858,1.2421900092064526,High
YouTube,#Viral,Tweet,USA,3703315,1.401095600591186,Medium
TikTok,#Education,Post,Canada,506215,0.1910794131835662,Medium
YouTube,#Fitness,Post,Canada,762333,0.2884176508035316,Medium
Twitter,#Dance,Post,Brazil,3252738,1.2270735252695493,High
Instagram,#Fashion,Tweet,Germany,4080585,1.5930549343966205,Medium
TikTok,#Comedy,Tweet,Germany,1450112,0.5473692996265374,Medium
Twitter,#Gaming,Post,UK,2512592,0.947858426655964,Low
TikTok,#Fitness,Video,Japan,3714148,1.4019679786591,High
Twitter,#Challenge,Tweet,USA,2276898,0.8589444509638299,Medium
Instagram,#Fitness,Post,Australia,2787914,1.0883979023530743,Medium
Instagram,#Comedy,Tweet,USA,893271,0.3487318054404953,Medium
YouTube,#Dance,Post,Japan,2061951,0.7801093006494442,High
Twitter,#Music,Reel,Canada,3823345,1.4423311768337026,High
Twitter,#Fitness,Live Stream,USA,4330038,1.6334777019271485,High
YouTube,#Fitness,Video,Canada,2714016,1.026808650502074,High
Instagram,#Music,Tweet,Canada,4588770,1.7914496797177806,Medium
Instagram,#Tech,Video,Canada,485489,0.1895342572315687,Low
YouTube,#Education,Post,UK,2688752,1.0172503819633902,Low
YouTube,#Comedy,Post,Brazil,2417512,0.914630655932968,Medium
TikTok,#Comedy,Tweet,Japan,1612356,0.6086110414013851,Low
Twitter,#Dance,Live Stream,UK,4041579,1.5246584850010605,High
Twitter,#Dance,Post,Canada,2214561,0.8354282371326734,Medium
YouTube,#Dance,Post,UK,2524440,0.9550853162521724,High
Instagram,#Viral,Reel,Canada,4675636,1.8253620501086183,Low
YouTube,#Tech,Live Stream,UK,1093553,0.4137299412319214,Low
Twitter,#Music,Tweet,Australia,2860355,1.0790496785699866,Medium
Twitter,#Fitness,Video,USA,4643597,1.7517657249741918,Low
Twitter,#Challenge,Reel,Brazil,4889936,1.8446954552941175,High
TikTok,#Education,Reel,Japan,1483481,0.559964993034521,Low
Instagram,#Dance,Tweet,Germany,734933,0.2869168617002002,Medium
YouTube,#Fashion,Reel,Japan,4485712,1.6971041752373457,High
Twitter,#Comedy,Shorts,UK,1165962,0.4398513196176065,High
Twitter,#Gaming,Tweet,India,791211,0.2984790262855616,High
YouTube,#Dance,Post,UK,755921,0.2859917634590873,High
Instagram,#Fitness,Tweet,India,1966067,0.7675499311261401,Medium
Twitter,#Fashion,Tweet,Germany,3275624,1.2357071147868477,Medium
Twitter,#Comedy,Live Stream,India,4914869,1.8541012617886912,Medium
Twitter,#Music,Tweet,Japan,694970,0.2621727565689516,High
YouTube,#Comedy,Tweet,Australia,2507996,0.948863966986414,High
Twitter,#Dance,Reel,USA,2122512,0.8007033712112446,High
Twitter,#Dance,Reel,USA,4445772,1.677137574740005,Low
Instagram,#Education,Video,UK,495496,0.1934409766672641,Low
TikTok,#Challenge,Post,Germany,1035819,0.3909873999869391,Low
Twitter,#Comedy,Tweet,USA,424447,0.1601197749649939,High
TikTok,#Gaming,Shorts,Germany,3949831,1.4909305130315351,High
TikTok,#Fitness,Live Stream,India,4820393,1.8195388634358336,Medium
TikTok,#Fashion,Reel,Canada,864256,0.3262280440531716,High
Instagram,#Comedy,Reel,Germany,1853392,0.7235617616031087,Medium
Twitter,#Challenge,Live Stream,Germany,4700334,1.7731693764835412,High
TikTok,#Education,Video,Brazil,4412697,1.665647113018941,High
Instagram,#Education,Live Stream,Brazil,340950,0.1331064246627696,High
TikTok,#Tech,Tweet,Japan,3763770,1.42069864179827,Medium
Twitter,#Dance,Tweet,Japan,394485,0.1488168120567835,Low
Twitter,#Viral,Live Stream,Australia,4250412,1.6034393291706848,High
Twitter,#Tech,Reel,UK,1722013,0.6496178181181491,High
Twitter,#Comedy,Video,Brazil,1359747,0.5129554070339184,High
YouTube,#Comedy,Tweet,Germany,3205182,1.2126341937680318,Medium
Instagram,#Education,Video,India,1333000,0.5204014197843434,Medium
Instagram,#Challenge,Post,UK,543708,0.2122628770803494,Low
TikTok,#Fitness,Shorts,Australia,2337694,0.8824021368840191,Medium
TikTok,#Comedy,Shorts,Brazil,1423060,0.5371580647057195,High
TikTok,#Education,Tweet,Japan,2243003,0.8466594174589427,High
YouTube,#Comedy,Post,India,567506,0.2147076767461319,Medium
YouTube,#Music,Post,Japan,1345248,0.5089550995538029,Medium
Instagram,#Dance,Video,Canada,567122,0.221403671411055,Low
Twitter,#Fitness,Video,UK,4719001,1.7802113766373215,Low
TikTok,#Gaming,Tweet,UK,1357286,0.51233055599354,High
Twitter,#Fashion,Tweet,India,2298278,0.8670099121138711,Low
YouTube,#Fashion,Post,Brazil,2824208,1.068498197953572,High
Twitter,#Gaming,Tweet,Germany,2517906,0.94986309740205,Medium
TikTok,#Challenge,Tweet,Japan,1070510,0.4040821046534368,High
TikTok,#Comedy,Tweet,UK,3369227,1.2717717136833704,Medium
TikTok,#Fitness,Video,USA,2580238,0.973954471744098,Medium
TikTok,#Comedy,Live Stream,Japan,1094116,0.4129925885932869,High
YouTube,#Music,Reel,UK,3107277,1.1755932548320027,High
Instagram,#Tech,Video,Canada,3502729,1.3674607237207754,Medium
YouTube,#Tech,Tweet,Brazil,3073848,1.1629458767849927,Medium
TikTok,#Comedy,Tweet,Japan,2092377,0.7898030862751811,High
YouTube,#Education,Post,USA,4530257,1.7139571309076933,High
TikTok,#Tech,Live Stream,Japan,4297874,1.622305229708536,Medium
TikTok,#Comedy,Post,Australia,2847461,1.0748223125412932,Medium
Instagram,#Viral,Video,Canada,4096574,1.599297018643381,Low
Twitter,#Fitness,Reel,Brazil,3708615,1.3990500562656842,Low
TikTok,#Music,Reel,India,4047898,1.5279475607536943,Medium
Twitter,#Comedy,Reel,Brazil,2676484,1.0096855809498164,High
Instagram,#Education,Video,Canada,961039,0.3751883421366284,Low
Twitter,#Fashion,Tweet,Canada,3806052,1.4358075089353086,Medium
TikTok,#Viral,Tweet,Australia,2277888,0.859827350706493,Low
Instagram,#Viral,Tweet,UK,3850711,1.50331243179234,Low
Twitter,#Tech,Shorts,Germany,1675122,0.6319285038624622,Medium
Instagram,#Music,Reel,Australia,423362,0.1652799594019048,High
Twitter,#Challenge,Shorts,Australia,2902262,1.0948588123592655,Medium
YouTube,#Challenge,Post,Brazil,1670715,0.6320908257444218,High
YouTube,#Fitness,Tweet,Brazil,3577708,1.3535740111224377,Low
Twitter,#Comedy,Post,Australia,4157406,1.56835344143819,Medium
TikTok,#Comedy,Post,Brazil,4955860,1.87067317369084,Medium
TikTok,#Tech,Post,USA,3562055,1.344557903514491,Low
YouTube,#Fashion,Post,Canada,4443444,1.681112689542559,Medium
TikTok,#Comedy,Video,UK,377149,0.1423612686363873,High
YouTube,#Tech,Live Stream,USA,2711504,1.0258582716796716,High
YouTube,#Challenge,Live Stream,Australia,429918,0.1626532494305673,Low
YouTube,#Gaming,Live Stream,Germany,4023574,1.5222609554016011,Medium
TikTok,#Gaming,Tweet,Brazil,3106083,1.172443560422846,High
Twitter,#Viral,Shorts,UK,374765,0.1413775747378493,Low
Instagram,#Tech,Post,Brazil,3573199,1.3949721176083991,Low
YouTube,#Education,Post,Brazil,1772657,0.6706591051685233,Low
YouTube,#Gaming,Post,UK,3559212,1.3465763173727745,High
TikTok,#Education,Live Stream,Germany,147632,0.0557261952473084,Low
TikTok,#Dance,Video,Germany,4133077,1.5600998149057108,Medium
Twitter,#Challenge,Shorts,India,3128393,1.1801652106436429,Medium
Instagram,#Music,Tweet,Australia,1568970,0.6125237926474428,Medium
Instagram,#Education,Live Stream,UK,464742,0.1814346561390963,High
TikTok,#Fitness,Video,Germany,2014353,0.7603516078831252,High
Instagram,#Dance,Tweet,UK,2177286,0.8500095466440916,High
TikTok,#Viral,Tweet,Germany,4338397,1.6376013214095675,Medium
Instagram,#Gaming,Video,India,4659521,1.8190707756301303,Medium
YouTube,#Challenge,Tweet,Australia,2893640,1.0947667896721396,High
TikTok,#Comedy,Post,Germany,2815469,1.062746391072019,Medium
Instagram,#Viral,Tweet,USA,3031527,1.1835040922089808,High
Instagram,#Challenge,Tweet,Germany,4655360,1.8174463267871277,Low
YouTube,#Viral,Post,Australia,1850613,0.7001526288465487,Medium
TikTok,#Gaming,Tweet,Germany,2210593,0.8344257148201837,High
Twitter,#Education,Tweet,Canada,2511011,0.9472620050433254,High
Twitter,#Comedy,Reel,USA,4904231,1.8500881478638016,Medium
YouTube,#Tech,Tweet,Japan,630739,0.2386309665856898,Low
TikTok,#Gaming,Tweet,India,1572385,0.5935233114361325,Low
Instagram,#Dance,Shorts,USA,871802,0.3403503365122507,Medium
YouTube,#Tech,Reel,USA,3044031,1.1516650466307048,Low
Twitter,#Comedy,Live Stream,UK,3432762,1.2949863680232925,High
Twitter,#Tech,Reel,Germany,2145559,0.8093976968952952,Medium
Twitter,#Dance,Post,Australia,2064776,0.7789228536734156,Low
Instagram,#Tech,Post,Japan,665740,0.2599040069071484,Medium
Instagram,#Fitness,Shorts,Japan,4582997,1.7891959082275968,Low
YouTube,#Education,Tweet,Germany,1392163,0.5267047104029301,Medium
YouTube,#Dance,Post,Australia,2183312,0.826024477506759,High
Instagram,#Music,Shorts,Canada,2267018,0.8850407996073989,Low
Twitter,#Viral,Tweet,Brazil,1513659,0.5710176734756935,Low
Twitter,#Fashion,Live Stream,Australia,3267376,1.2325956122814437,Low
TikTok,#Challenge,Shorts,USA,2127779,0.8031661699165679,Low
Instagram,#Fashion,Live Stream,Canada,4151557,1.6207623084138256,Low
Twitter,#Gaming,Reel,Germany,360483,0.1359897863306982,High
YouTube,#Challenge,Shorts,USA,4987250,1.8868538145008975,Medium
YouTube,#Challenge,Reel,Australia,2612254,0.9883084714712974,High
TikTok,#Fitness,Shorts,Germany,4968911,1.875599494367744,Medium
Twitter,#Education,Reel,India,2319248,0.8749207035224944,Low
Instagram,#Challenge,Live Stream,Australia,901819,0.3520689332246788,Low
Instagram,#Education,Live Stream,UK,1924813,0.7514444246206763,Medium
Twitter,#Fitness,Tweet,Germany,1779685,0.671374192086586,Medium
Instagram,#Education,Live Stream,Canada,166638,0.0650552526556814,Low
Twitter,#Education,Video,USA,4952299,1.86822147745034,Medium
Instagram,#Viral,Shorts,Brazil,908633,0.3547291097246116,High
YouTube,#Education,Video,Brazil,4687224,1.7733433222357322,Medium
YouTube,#Comedy,Shorts,Australia,2758571,1.043665389527607,Low
YouTube,#Dance,Tweet,Canada,3230389,1.2221708971821623,Low
YouTube,#Tech,Tweet,UK,3448262,1.3045999915982744,Low
TikTok,#Music,Live Stream,UK,3739590,1.4115714918505626,Medium
YouTube,#Music,Video,UK,2520922,0.9537543318981868,High
Twitter,#Education,Tweet,UK,2717191,1.0250420228129935,High
TikTok,#Gaming,Shorts,Japan,775716,0.292807123607762,Low
Instagram,#Education,Post,Brazil,446706,0.1743934258260952,High
Instagram,#Fitness,Live Stream,UK,951304,0.3713878111376782,Medium
Twitter,#Gaming,Tweet,UK,1181477,0.4457042489788268,Medium
YouTube,#Challenge,Post,Japan,117636,0.0445058770510055,Medium
Instagram,#Comedy,Tweet,UK,3592472,1.4024962710693922,Medium
Instagram,#Challenge,Live Stream,Canada,3592674,1.4025751315996222,Medium
Twitter,#Challenge,Live Stream,Germany,4528887,1.7084921492716083,High
YouTube,#Gaming,Post,India,1376828,0.5209029352271577,Medium
Instagram,#Education,Shorts,Australia,4686957,1.829781753389473,Medium
Twitter,#Viral,Video,Germany,1375455,0.5188811443465867,High
YouTube,#Fashion,Post,USA,830776,0.3143120686943301,Medium
YouTube,#Fitness,Tweet,Canada,2151293,0.813910552540795,Low
Instagram,#Viral,Video,Japan,2573525,1.004700723068644,Low
Instagram,#Music,Video,Germany,693490,0.270737569847145,Medium
Instagram,#Gaming,Shorts,Germany,1190294,0.4646891879675808,Medium
Instagram,#Gaming,Video,Germany,1646518,0.6427984282824288,High
YouTube,#Comedy,Live Stream,Australia,3112756,1.1776661551377126,High
