Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Like_Rate,Comment_Rate,Total_Engagement_wo_Shares,Engagement_Rate_wo_Shares,Views_norm
Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,0.0555267013199653,0.0017068674357143,94659,0.0572335687556797,0.6456830840144517
YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,0.0664769136160981,0.001091115628363,316440,0.0675680292444611,1.7718511669508776
Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,0.1143509890858232,0.0134023600396879,174467,0.1277533491255112,0.5331498881737341
Twitter,#Music,Video,USA,2342195,91944,89578,44440,0.039255484705586,0.01897365505434,136384,0.058229139759926,0.8835773048793698
YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,0.0017541152697431,0.0092507430529521,54776,0.0110048583226953,1.883141586393648
YouTube,#Viral,Reel,Australia,3005703,16688,77970,15891,0.0055521121015615,0.0052869495089834,32579,0.010839061610545,1.137164202878699
YouTube,#Education,Tweet,UK,936390,368646,92202,2016,0.393688527216224,0.0021529490917246,370662,0.3958414763079486,0.3542695961422619
TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,0.0852227292223929,0.0110561721223668,178674,0.0962789013447598,0.7005015866151922
Instagram,#Dance,Video,India,1367820,10794,7617,36639,0.0078913892178795,0.0267864192656928,47433,0.0346778084835724,0.533995101282386
TikTok,#Gaming,Shorts,USA,4499253,469481,89583,41549,0.1043464326189258,0.0092346440620254,511030,0.1135810766809512,1.6983191391096668
Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,0.0608873518255386,0.0030888085672535,288563,0.0639761603927921,1.7015471006386682
Twitter,#Education,Reel,India,4380015,355402,41860,42729,0.0811417312497788,0.009755446042993,398131,0.0908971772927718,1.6523311889194594
YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,0.4271763153292099,0.0127189565346434,414995,0.4398952718638534,0.3569198364491602
Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,0.012535348440579,0.0060465334672295,73608,0.0185818819078085,1.494365473036165
YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,0.0420598748269655,0.0101318297144784,212948,0.0521917045414439,1.5436512889449872
Twitter,#Comedy,Shorts,Germany,3934142,380972,42858,26194,0.0968373790269898,0.0066581226605445,407166,0.1034955016875344,1.4841285996139235
Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,0.2033248825017794,0.0160513723904646,351054,0.219376254892244,0.6247303876905014
Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,0.0337229201886972,0.0160633967762037,110170,0.049786316964901,0.8638964175391769
Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,0.0666122992717075,0.0077252785249992,350216,0.0743375777967068,1.7772522804137048
Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,0.1537465772468618,0.0149200011063444,463460,0.1686665783532062,1.0727327655411714
YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,0.1081282735970435,0.0138241763098952,253835,0.1219524499069388,0.7874773848716919
YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,0.0706262668840386,0.0038100610406757,168114,0.0744363279247144,0.8544684984565423
YouTube,#Comedy,Tweet,Japan,1357850,472399,90644,33331,0.3479021983282395,0.0245468939868173,505730,0.3724490923150569,0.5137228837575907
Twitter,#Fitness,Reel,Canada,392337,332566,43169,45161,0.8476539301671777,0.1151076752893558,377727,0.9627616054565336,0.1480064935090619
Twitter,#Dance,Reel,USA,4006009,491965,60534,31438,0.1228067635394728,0.007847710776486,523403,0.1306544743159588,1.5112399418248692
YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,0.099032755093976,0.0083779098859438,422660,0.1074106649799199,1.4887468601687708
Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,0.0120807783014693,0.0104261584286138,63578,0.0225069367300831,1.102805174667944
Twitter,#Dance,Video,Australia,197986,184395,9408,7599,0.9313537320820664,0.038381501722344,191994,0.9697352338044104,0.0746888864009388
YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,0.2071000933453371,0.002683842092332,480718,0.2097839354376691,0.8669524355595722
Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,0.0116199551108429,0.0074827552854528,67348,0.0191027103962958,1.3299986933177956
TikTok,#Music,Reel,USA,866896,122451,79602,25491,0.1412522378693638,0.0294049113157749,147942,0.1706571491851387,0.327224556702549
YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,0.0807728524668446,0.0032437291922227,344849,0.0840165816590673,1.5528913773126356
TikTok,#Dance,Tweet,India,2601441,93254,55921,48758,0.0358470555357588,0.0187426891480529,142012,0.0545897446838117,0.9819579026928672
Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,0.1861562305718763,1.5761407318546798e-05,212614,0.1861719919791949,0.4458469868239413
YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,0.1205896704293621,0.0027370772608079,366230,0.1233267476901701,1.123501750635628
TikTok,#Education,Post,Japan,855465,14117,73654,46422,0.0165021362650722,0.0542652241763251,60539,0.0707673604413973,0.3229097324241271
YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,0.0844408806727534,0.0044055643040611,395674,0.0888464449768146,1.6849017197600589
Twitter,#Dance,Reel,Japan,1059696,75851,99754,47614,0.0715780752215729,0.0449317540124715,123465,0.1165098292340444,0.3997631861016903
Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,0.5877209724593648,0.0008339394439601,342290,0.5885549119033249,0.2193960102552645
YouTube,#Fitness,Tweet,Australia,4226427,421149,53769,27804,0.0996465809062832,0.0065786064683005,448953,0.1062251873745837,1.5990074503302594
Twitter,#Dance,Reel,Japan,485214,50577,92342,43775,0.1042364812227182,0.090217924462196,94352,0.1944544056849143,0.1830437168595008
Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,0.0484038540509586,0.0257202044655881,105234,0.0741240585165468,0.554249374395538
TikTok,#Fashion,Post,Germany,4378457,136878,89273,41624,0.0312616978995111,0.0095065453423432,178502,0.0407682432418543,1.6527226459300457
TikTok,#Music,Post,India,3647159,216783,79133,7687,0.0594388673485307,0.0021076679135732,224470,0.061546535262104,1.3766818476480591
YouTube,#Gaming,Video,USA,1750105,125485,942,20317,0.0717014122009822,0.0116090177446496,145802,0.0833104299456318,0.6621268825559363
Instagram,#Dance,Tweet,India,1796369,145118,68421,16720,0.0807840705333926,0.0093076645165887,161838,0.0900917350499813,0.7013000585570752
Twitter,#Fitness,Shorts,India,1535141,15408,23087,23147,0.0100368630633928,0.0150780938037613,38555,0.0251149568671542,0.5791216134394535
Twitter,#Challenge,Video,Australia,612594,132163,29340,40557,0.2157432165512558,0.0662053497095955,172720,0.2819485662608514,0.2310969648151724
Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,0.0407609004766292,0.0008142890185684,175432,0.0415751894951976,1.6473386974999615
Twitter,#Viral,Shorts,Japan,3994554,241425,99422,41307,0.0604385370682183,0.0103408290387362,282732,0.0707793661069546,1.5069186201469589
Instagram,#Challenge,Shorts,India,4290853,211176,66264,14337,0.0492153891079466,0.0033412936775042,225513,0.0525566827854508,1.6751432807846285
Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657,0.0473395099241375,0.0070425815567475,252174,0.0543820914808851,1.8103090584026584
Instagram,#Comedy,Shorts,Brazil,3315125,62336,79392,42892,0.0188035141962972,0.0129382753289845,105228,0.0317417895252818,1.294220372665095
Twitter,#Fitness,Shorts,Brazil,4357287,106179,4262,12978,0.0243681446735089,0.0029784588437713,119157,0.0273466035172803,1.6437572038390975
TikTok,#Fitness,Shorts,Canada,907386,52457,77192,32870,0.057811118972521,0.0362249362454346,85327,0.0940360552179557,0.3425081919954633
Twitter,#Gaming,Post,India,1908555,194688,34182,3500,0.102008063692165,0.0018338481206986,198188,0.1038419118128636,0.7199895325171669
Twitter,#Challenge,Post,Japan,3074269,18233,37713,28599,0.0059308407949987,0.0093026992758278,46832,0.0152335400708265,1.159747295803379
YouTube,#Dance,Post,Brazil,4067125,190686,12963,11560,0.0468847158619417,0.002842302609337,202246,0.0497270184712788,1.5387378455665874
YouTube,#Fitness,Reel,Japan,1173157,137342,95328,47250,0.117070434732947,0.040275939196544,184592,0.1573463739294911,0.4438469618443891
TikTok,#Fitness,Reel,Germany,2141884,23466,66627,40003,0.0109557753827938,0.0186765483098057,63469,0.0296323236925995,0.8084903407193971
Twitter,#Comedy,Post,India,4567233,66980,96596,49121,0.0146653345690924,0.010755089569549,116101,0.0254204241386414,1.722957919770181
Twitter,#Gaming,Post,UK,506074,69145,31191,43362,0.1366302161343993,0.0856831214407379,112507,0.2223133375751372,0.1909130115082314
YouTube,#Comedy,Tweet,UK,3210080,195970,75414,4473,0.0610483227832328,0.0013934232168668,200443,0.0624417460000996,1.214487281137509
TikTok,#Music,Reel,India,1347102,274212,15298,28342,0.2035569689600342,0.0210392383056368,302554,0.224596207265671,0.508486432955184
TikTok,#Tech,Post,Australia,3843536,90333,10903,30677,0.0235025767938689,0.0079814524958267,121010,0.0314840292896957,1.4508076675521495
Instagram,#Viral,Reel,Germany,965073,263310,39207,27324,0.2728394639576488,0.0283128841030678,290634,0.3011523480607166,0.376763210349239
YouTube,#Education,Post,Canada,3096420,364521,73308,29082,0.1177233708605421,0.0093921367256379,393603,0.1271155075861801,1.1714856661079491
YouTube,#Gaming,Tweet,Germany,2723916,1349,81918,11870,0.0004952428782679,0.0043576967865382,13219,0.0048529396648061,1.0305541721349496
TikTok,#Music,Live Stream,UK,2249678,46464,83075,5710,0.020653622429521,0.0025381410139584,52174,0.0231917634434794,0.8491790091008345
Twitter,#Viral,Shorts,Germany,3311289,352538,55203,5369,0.1064654882132003,0.0016214229564378,357907,0.1080869111696381,1.2491614960738553
Instagram,#Music,Tweet,India,3588997,241125,65026,30917,0.0671845086524173,0.0086143844645175,272042,0.0757988931169349,1.4011396357102397
Twitter,#Fitness,Live Stream,USA,3926751,302919,49216,30399,0.077142400931457,0.0077415145498148,333318,0.0848839154812719,1.4813403945924102
YouTube,#Music,Tweet,UK,2750317,59766,75524,27938,0.0217305859651814,0.0101581017751771,87704,0.0318886877403586,1.0405426081581364
TikTok,#Challenge,Reel,Germany,4655757,383024,45530,48504,0.0822688984841777,0.0104180694997612,431528,0.092686967983939,1.757394220805944
Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,0.0934714860326522,0.0049277334573077,476647,0.0983992194899599,1.8910958156432085
Twitter,#Dance,Video,USA,3868789,188191,4660,26605,0.0486433868582649,0.0068768288991723,214796,0.0555202157574372,1.4594746200751656
Twitter,#Viral,Tweet,Australia,2517364,418305,51641,34605,0.1661678644804644,0.0137465221557152,452910,0.1799143866361797,0.9496586315487608
Instagram,#Dance,Video,Brazil,1994041,310266,87995,40217,0.1555966000699083,0.0201685923208198,350483,0.1757651923907282,0.7784709433669857
TikTok,#Education,Shorts,Australia,1402998,241244,56779,14849,0.1719489265130812,0.0105837641963851,256093,0.1825326907094664,0.529585323504276
YouTube,#Fashion,Live Stream,Brazil,702950,17361,62405,10538,0.0246973468952272,0.0149911088982146,27899,0.0396884557934419,0.2659509527100919
Instagram,#Education,Tweet,Canada,1599554,364748,16705,8949,0.2280310636589949,0.0055946845183094,373697,0.2336257481773044,0.6244637454026449
TikTok,#Tech,Post,Australia,4600976,443617,98343,18038,0.0964180208720932,0.0039204725258293,461655,0.1003384933979225,1.7367162058644487
Twitter,#Viral,Shorts,USA,2495410,213884,16804,17614,0.0857109653323501,0.00705855951527,231498,0.0927695248476202,0.9413766327607344
TikTok,#Dance,Video,Germany,1838563,289125,77191,27066,0.157255965664489,0.0147212796080417,316191,0.1719772452725307,0.6939966993096157
YouTube,#Tech,Shorts,India,2920650,416403,56902,2675,0.1425720301987571,0.0009158920103401,419078,0.1434879222090972,1.1049856320260758
TikTok,#Viral,Video,Germany,1772623,361245,30503,13260,0.2037912178731744,0.0074804400033171,374505,0.2112716578764915,0.6691065310899376
Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,0.0408985978026135,0.0146040256569718,137886,0.0555026234595854,0.969873258208208
YouTube,#Comedy,Live Stream,India,4927173,22341,38730,42476,0.0045342430639232,0.0086207648889129,64817,0.0131550079528362,1.8641245515576383
TikTok,#Challenge,Video,UK,3924183,283030,30676,43977,0.0721245670754906,0.0112066639094048,327007,0.0833312309848954,1.4812492416560683
Instagram,#Music,Post,USA,4646060,21362,31562,19778,0.0045978743279251,0.0042569402891912,41140,0.0088548146171164,1.8138156192072368
YouTube,#Fitness,Video,USA,3901900,20166,30661,25363,0.0051682513647197,0.0065001665855096,45529,0.0116684179502293,1.4762273595270043
Instagram,#Fashion,Video,Japan,962137,319381,69098,38387,0.3319496080080071,0.0398976445142427,357768,0.3718472525222499,0.3756169998702542
TikTok,#Education,Video,Germany,3859007,277223,81798,46985,0.0718379106334868,0.0121754119647878,324208,0.0840133225982746,1.4566474581576494
Twitter,#Challenge,Shorts,UK,3837223,140163,85932,40674,0.0365271968817032,0.0105998530708275,180837,0.0471270499525307,1.4475665589590665
Instagram,#Comedy,Post,UK,1029488,449148,87211,35005,0.4362828901356791,0.0340023390267783,484153,0.4702852291624574,0.4019107403232889
Twitter,#Fashion,Post,Germany,879364,232290,7501,23547,0.2641568224307568,0.0267773072356839,255837,0.2909341296664407,0.3317341524202477
TikTok,#Comedy,Live Stream,USA,4828597,131837,43770,9395,0.0273033761152566,0.001945699755022,141232,0.0292490758702786,1.8226356019871568
YouTube,#Education,Video,India,3487375,107303,83451,45313,0.0307689881357754,0.012993440625112,152616,0.0437624287608874,1.319397828732281
TikTok,#Dance,Tweet,India,3418884,311286,82479,7832,0.0910490089748584,0.0022908060057024,319118,0.0933398149805609,1.290515588164483
YouTube,#Challenge,Reel,Brazil,1337059,318166,72711,32791,0.2379595814395625,0.0245247217961211,350957,0.2624843032356836,0.5058569099930335
TikTok,#Education,Live Stream,Canada,707841,133933,46058,45912,0.1892133967939127,0.0648620240986323,179845,0.2540754208925451,0.2671865569121198
TikTok,#Fitness,Shorts,Australia,1851460,345987,13274,43872,0.1868725222257029,0.0236958940511812,389859,0.2105684162768842,0.6988648900819723
Instagram,#Fashion,Tweet,Canada,1438248,223413,84930,42774,0.1553369099070536,0.0297403507600914,266187,0.185077260667145,0.5614900984261008
Instagram,#Fashion,Live Stream,Brazil,4027409,80497,44156,14597,0.0199872920778594,0.0036244146050227,95094,0.0236117066828822,1.5722950950129353
Instagram,#Music,Video,India,3488909,443844,19877,22056,0.1272156998075903,0.0063217469988469,465900,0.1335374468064372,1.3620654141773247
TikTok,#Fitness,Video,USA,1089083,150418,45387,25632,0.1381143585934221,0.0235353962921099,176050,0.1616497548855321,0.4110927976219549
TikTok,#Fashion,Live Stream,Germany,682046,480038,71997,18117,0.7038205634224085,0.0265627245083176,498155,0.730383287930726,0.2574497979004941
YouTube,#Tech,Live Stream,Brazil,4849297,86843,16843,14705,0.0179083689862674,0.0030323983043315,101548,0.020940767290599,1.8346612947210907
Instagram,#Challenge,Tweet,USA,4283565,107901,84854,4738,0.0251895325505741,0.0011060880364836,112639,0.0262956205870577,1.6722980553177202
Twitter,#Viral,Post,USA,3940355,82304,68754,15897,0.0208874581097388,0.0040344080672934,98201,0.0249218661770322,1.486472412061314
Instagram,#Education,Reel,Canada,964498,194879,76029,34998,0.2020522593100245,0.0362862338750313,229877,0.2383384931850558,0.376538731117149
TikTok,#Tech,Shorts,UK,636824,363548,17456,8176,0.570876725751542,0.0128387121088401,371724,0.5837154378603822,0.2403799891769532
TikTok,#Comedy,Reel,India,4179125,94325,72341,7328,0.0225705141626536,0.0017534771034606,101653,0.0243239912661143,1.577481411299095
Instagram,#Gaming,Video,Brazil,1292958,95304,3716,44880,0.0737100509065259,0.0347111043050122,140184,0.1084211552115382,0.5047690764602589
Instagram,#Viral,Reel,UK,4103477,75909,5645,4052,0.018498702441856,0.000987455272687,79961,0.019486157714543,1.6019919406244547
Twitter,#Education,Reel,Germany,3529777,68367,38326,879,0.0193686456679841,0.0002490242301425,69246,0.0196176698981267,1.331584624032238
Instagram,#Fashion,Reel,USA,4593170,34210,33344,11022,0.007448015205185,0.0023996499149824,45232,0.0098476651201675,1.7931674338416
TikTok,#Challenge,Shorts,Brazil,3251679,498580,96093,9968,0.1533300181229451,0.0030654932421066,508548,0.1563955113650517,1.2274012330360131
Twitter,#Dance,Shorts,Canada,2127698,193956,14856,32442,0.0911576736924131,0.0152474646307887,226398,0.1064051383232018,0.8026597548185465
YouTube,#Education,Shorts,Australia,4765117,177035,49884,46238,0.0371522881809617,0.0097034343542876,223273,0.0468557225352493,1.8028130107760936
Twitter,#Fitness,Reel,India,2114283,462542,14404,37153,0.2187701457184303,0.0175723874240108,499695,0.2363425331424412,0.7975990363280038
YouTube,#Fashion,Reel,Canada,4391275,392281,14429,27404,0.0893319138518995,0.006240556558175,419685,0.0955724704100745,1.6613753038793784
TikTok,#Gaming,Post,India,1246500,471547,15048,40514,0.378296831127156,0.0325022061772964,512061,0.4107990373044524,0.4705125066094749
Twitter,#Music,Tweet,Germany,4555977,1087,23157,12611,0.0002385876838272,0.0027680122177965,13698,0.0030065999016237,1.718711669503349
Twitter,#Gaming,Tweet,India,400424,56569,59897,49341,0.1412727508840628,0.1232218848021097,105910,0.2644946356861726,0.1510572598477141
Instagram,#Challenge,Video,Brazil,3201846,335416,50986,16715,0.1047570682662439,0.0052204259667704,352131,0.1099774942330143,1.249996402348703
Twitter,#Comedy,Tweet,Australia,4253909,448284,39383,32995,0.1053816619020294,0.007756395353074,481279,0.1131380572551034,1.6047585488919989
TikTok,#Fitness,Live Stream,Australia,1551922,47511,7404,25497,0.0306142963370581,0.0164293050810543,73008,0.0470436014181125,0.5857992060027192
YouTube,#Challenge,Post,Germany,3587143,430347,96428,42640,0.1199692903238036,0.0118868971769455,472987,0.1318561875007492,1.3571436067392235
Instagram,#Fashion,Video,USA,2252593,61466,13181,29007,0.0272867757291263,0.0128771597887412,90473,0.0401639355178676,0.8794092988719231
YouTube,#Challenge,Video,Australia,2547290,382792,78654,30532,0.1502742129871353,0.0119860714720349,413324,0.1622602844591703,0.963730282849264
YouTube,#Viral,Reel,USA,2946297,223304,83502,10855,0.0757914086733279,0.0036842857322259,234159,0.0794756944055538,1.1146888030683346
Twitter,#Education,Video,India,4459268,356292,52389,33857,0.0798992121576904,0.0075925017289833,390149,0.0874917138866737,1.6822288499355595
Instagram,#Music,Live Stream,Australia,1630617,435112,71742,49750,0.2668388714210633,0.030509923544278,484862,0.2973487949653413,0.6365906991181446
Instagram,#Education,Live Stream,USA,4709770,389553,55435,16799,0.0827116823114504,0.003566840843608,406352,0.0862785231550585,1.838687918122811
Instagram,#Fitness,Tweet,Australia,2275387,271817,72208,27046,0.1194596787271791,0.0118863296661183,298863,0.1313460083932975,0.8883080460306361
TikTok,#Tech,Tweet,Brazil,2784320,373955,22997,15361,0.1343074790253993,0.005516966440639,389316,0.1398244454660384,1.050988674210103
Twitter,#Music,Tweet,USA,3674194,19972,97555,24310,0.005435749990338,0.0066164170971919,44282,0.0120521670875299,1.3860649656087352
YouTube,#Music,Post,UK,2126429,36274,51278,44234,0.017058646209208,0.020802011259252,80508,0.03786065746846,0.8045036182095001
YouTube,#Fitness,Shorts,USA,1598712,280260,58128,4485,0.1753036194136279,0.0028053833335835,284745,0.1781090027472115,0.6048495334078619
Twitter,#Fashion,Video,Australia,3464211,115302,63150,37858,0.033283769377789,0.0109283181653773,153160,0.0442120875431664,1.3068502916765967
Twitter,#Fitness,Reel,UK,1519290,495937,13211,49107,0.3264268177898887,0.0323223347747961,545044,0.3587491525646848,0.5731419303389247
Instagram,#Fitness,Tweet,Canada,4888613,414422,11933,23903,0.0847729202536588,0.0048895259248379,438325,0.0896624461784968,1.9085079864787688
Twitter,#Viral,Shorts,USA,3712060,302466,63802,49953,0.0814819803559209,0.0134569484329455,352419,0.0949389287888665,1.4003496593368672
Instagram,#Tech,Reel,UK,4003071,22251,13517,13392,0.0055584824750797,0.0033454315449313,35643,0.0089039140200111,1.5627935723162276
Instagram,#Dance,Video,Germany,681752,197632,98860,19379,0.2898884051678616,0.0284252924817235,217011,0.3183136976495851,0.2661550703231926
Instagram,#Gaming,Shorts,Germany,4684548,122401,82864,42106,0.0261286681233707,0.0089882737886344,164507,0.0351169419120051,1.8288412830066816
Instagram,#Tech,Video,UK,3916842,292224,72417,38211,0.0746070431230057,0.0097555632828692,330435,0.0843626064058749,1.5291298858746791
TikTok,#Dance,Reel,UK,798887,326922,87308,21689,0.4092218298708077,0.0271490210755713,348611,0.4363708509463792,0.3015534094406126
Twitter,#Gaming,Video,Australia,688077,243607,79071,12078,0.3540403181620661,0.0175532680208755,255685,0.3715935861829417,0.2595724186967704
Twitter,#Challenge,Reel,Japan,1520250,214233,80,10917,0.1409195855944746,0.0071810557474099,225150,0.1481006413418845,0.5735040838798059
TikTok,#Fashion,Post,Australia,496652,106618,64875,44200,0.2146734534442627,0.0889959166579415,150818,0.3036693701022043,0.1874696970979614
TikTok,#Education,Reel,India,479620,337321,99486,26524,0.7033088695217047,0.0553021141737208,363845,0.7586109836954256,0.1810406806418261
YouTube,#Education,Reel,USA,4221739,291223,61415,44293,0.0689817632023201,0.0104916481099376,335516,0.0794734113122578,1.5972338134196613
Twitter,#Education,Live Stream,Brazil,4425196,324343,33641,22289,0.0732946066117749,0.0050368390462252,346632,0.0783314456580002,1.6693754171804516
Instagram,#Comedy,Shorts,UK,4236960,259668,86293,16169,0.0612863940183527,0.0038161795249424,275837,0.0651025735432952,1.6541035255584935
TikTok,#Education,Reel,India,2488223,177673,86535,39991,0.0714055773939875,0.0160721125076008,217664,0.0874776899015884,0.9392218537772544
YouTube,#Dance,Live Stream,UK,2809035,359231,78623,27822,0.1278841310272032,0.0099044689724407,387053,0.137788599999644,1.062757713131792
YouTube,#Music,Shorts,Brazil,444252,398838,7767,19133,0.8977742362442938,0.0430678984000072,417971,0.940842134644301,0.168076310752349
Instagram,#Fashion,Reel,India,907575,42770,5219,47956,0.0471255819078313,0.0528397102167864,90726,0.0999652921246178,0.354316067937566
TikTok,#Dance,Post,Canada,2440215,199343,53628,10359,0.0816907526590894,0.0042451177457724,209702,0.0859358704048618,0.92110042223509
TikTok,#Comedy,Shorts,USA,3982001,131915,64092,22170,0.033127816894069,0.0055675525947883,154085,0.0386953694888574,1.50307362361126
Twitter,#Fashion,Reel,Brazil,3802724,457464,83495,19409,0.1202990277495816,0.0051039728363141,476873,0.1254030005858958,1.4345520433269203
YouTube,#Dance,Shorts,Australia,3049554,441149,46483,36909,0.1446601699789543,0.0121030813030364,478058,0.1567632512819907,1.153754593699227
YouTube,#Fashion,Video,Germany,3186810,312491,66586,7390,0.0980576187472739,0.0023189333534161,319881,0.10037655210069,1.2056834136226589
YouTube,#Gaming,Live Stream,Australia,810296,77866,87591,41350,0.0960957477267566,0.0510307344476586,119216,0.1471264821744152,0.3065637572760177
Twitter,#Dance,Post,UK,4459224,957,54290,47674,0.0002146113314783,0.0106910978232984,48631,0.0109057091547767,1.6822122512316025
Instagram,#Viral,Post,USA,741152,226355,58251,46227,0.3054096865420319,0.0623718211648892,272582,0.3677815077069211,0.289344750994753
Twitter,#Fashion,Tweet,USA,2945128,368541,66690,3800,0.1251358175264368,0.0012902665011503,372341,0.1264260840275872,1.1110297224461536
Twitter,#Music,Post,Canada,2302342,153529,52488,41257,0.0666838375879864,0.017919579280576,194786,0.0846034168685625,0.8685430287702681
YouTube,#Fashion,Shorts,Australia,469793,295293,29190,9480,0.6285598125131707,0.0201791001568776,304773,0.6487389126700484,0.1777393782296496
Twitter,#Comedy,Live Stream,UK,2452099,320043,91765,2987,0.1305179766396055,0.001218140050626,323030,0.1317361166902315,0.9250378494179168
TikTok,#Tech,Live Stream,UK,2651939,209375,2127,12291,0.0789516651778189,0.0046347219902116,221666,0.0835863871680306,1.0010192268475124
