Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Like_Rate,Share_Rate,Comment_Rate,Total_Engagement,Engagement_Rate,Total_Engagement_wo_Shares,Engagement_Rate_wo_Shares,Views_norm
YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,Medium,0.040337696754107165,0.014306201810889428,0.008669697261912067,195001,0.06331359582690865,150939,0.04900739401601923,1.165244265059712
Twitter,#Dance,Reel,UK,294870,213142,20351,20767,Low,0.722833791162207,0.06901685488520365,0.07042764608132397,254260,0.8622782921287347,233909,0.793261437243531,0.1112377235412849
TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,Medium,0.011931211243187162,0.026670684040834853,0.020348682725437342,120913,0.05895057800945935,66209,0.032279893968624504,0.774218987319803
TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,Low,0.04776874996027337,0.014468295834279549,0.0056354036832802,234917,0.06787244947783312,184840,0.05340415364355357,1.3064711145619017
YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,Low,0.09500364511700635,0.026947147711846184,0.011820230208541406,420567,0.13377102303739394,335847,0.10682387532554775,1.1894611432616045
TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,Medium,0.009014357841670815,0.01855873220049098,0.0010062669356840246,112157,0.02857935697784582,39325,0.01002062477735484,1.4813334167775876
YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,Low,0.3729621218942054,0.03756631753050356,0.01757018570575858,256759,0.42809862513046754,234228,0.390532307599964,0.2269127805720478
Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,High,0.10321670015794482,0.014557175084691973,0.006489437110171963,541521,0.12426331235280876,478083,0.10970613726811679,1.6439699690443652
YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,High,0.648877909806259,0.13448814204393214,0.004995269941434766,576680,0.7883613217916259,478303,0.6538731797476938,0.27674940507832785
YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,Low,0.040173991521568524,0.010836899951820614,0.0030333056800766634,265401,0.0540441971534658,212183,0.043207297201645185,1.8579353608109503
Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Low,0.04858442848445732,0.004866728004284478,0.0041590566823672655,251714,0.057610213171109065,230450,0.05274348516682459,1.7057532688724235
YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,Medium,0.1721055442247459,0.019030247482310688,0.026017412161625064,407040,0.21715320386868164,371369,0.19812295638637095,0.7091660942386323
Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,Low,0.05552670131996539,0.04678013939115077,0.001706867435714342,172029,0.1040137081468305,94659,0.05723356875567973,0.6456830840144517
YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,Medium,0.06647691361609812,0.0007168053159324234,0.0010911156283630275,319797,0.06828483456039357,316440,0.06756802924446115,1.7718511669508776
Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Low,0.11435098908582329,0.06218993816154153,0.013402360039687915,259397,0.18994328728705273,174467,0.1277533491255112,0.5331498881737341
Twitter,#Music,Video,USA,2342195,91944,89578,44440,Medium,0.039255484705586,0.03824532116241389,0.018973655054340052,225962,0.09647446092233994,136384,0.05822913975992605,0.8835773048793698
YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,Low,0.0017541152697431893,0.0009040795686455562,0.009250743052952141,59276,0.011908937891340886,54776,0.01100485832269533,1.8831415863936476
YouTube,#Viral,Reel,Australia,3005703,16688,77970,15891,Low,0.005552112101561598,0.025940686754479733,0.005286949508983422,110549,0.036779748365024754,32579,0.010839061610545021,1.137164202878699
YouTube,#Education,Tweet,UK,936390,368646,92202,2016,Low,0.393688527216224,0.09846538301348796,0.002152949091724602,462864,0.4943068593214366,370662,0.39584147630794864,0.3542695961422619
TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,High,0.08522272922239298,0.00346104852041927,0.011056172122366897,185097,0.09973994986517914,178674,0.09627890134475987,0.7005015866151922
Instagram,#Dance,Video,India,1367820,10794,7617,36639,Medium,0.007891389217879546,0.005568715181822169,0.026786419265692855,55050,0.04024652366539457,47433,0.0346778084835724,0.533995101282386
TikTok,#Gaming,Shorts,USA,4499253,469481,89583,41549,High,0.10434643261892586,0.019910638499324222,0.009234644062025408,600613,0.13349171518027547,511030,0.11358107668095126,1.6983191391096668
Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,Low,0.06088735182553863,0.01821159934969184,0.00308880856725353,370706,0.082187759742484,288563,0.06397616039279216,1.7015471006386682
Twitter,#Education,Reel,India,4380015,355402,41860,42729,High,0.08114173124977883,0.009557044895964968,0.009755446042993004,439991,0.1004542221887368,398131,0.09089717729277183,1.6523311889194594
YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,High,0.4271763153292099,0.01978068571489143,0.012718956534643494,433656,0.45967595757874485,414995,0.4398952718638534,0.35691983644916025
Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,Medium,0.012535348440579025,0.023495447681278616,0.006046533467229515,166680,0.04207732958908716,73608,0.01858188190780854,1.494365473036165
YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,Medium,0.042059874826965535,0.0044101730540730254,0.010131829714478426,230942,0.056601877595516985,212948,0.05219170454144396,1.5436512889449872
Twitter,#Comedy,Shorts,Germany,3934142,380972,42858,26194,Low,0.09683737902698987,0.010893861990746647,0.0066581226605445356,450024,0.11438936367828106,407166,0.10349550168753441,1.4841285996139235
Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,Medium,0.20332488250177944,0.03925543528864787,0.016051372390464662,413872,0.25863169018089194,351054,0.21937625489224408,0.6247303876905014
Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,Medium,0.033722920188697235,0.010907618522118691,0.016063396776203793,134307,0.06069393548701972,110170,0.04978631696490103,0.8638964175391769
Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,High,0.06661229927170756,0.018270246565758687,0.007725278524999273,436290,0.09260782436246552,350216,0.07433757779670684,1.7772522804137048
Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,Low,0.15374657724686183,0.00784085235105474,0.01492000110634445,485005,0.17650743070426103,463460,0.16866657835320628,1.0727327655411714
YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,Medium,0.10812827359704356,0.03259303957959591,0.013824176309895235,321675,0.1545454894865347,253835,0.1219524499069388,0.7874773848716919
YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,Medium,0.07062626688403865,0.011292923514518967,0.003810061040675778,193619,0.0857292514392334,168114,0.07443632792471444,0.8544684984565423
YouTube,#Comedy,Tweet,Japan,1357850,472399,90644,33331,Low,0.3479021983282395,0.06675553264351733,0.024546893986817395,596374,0.4392046249585742,505730,0.3724490923150569,0.5137228837575907
Twitter,#Fitness,Reel,Canada,392337,332566,43169,45161,Medium,0.8476539301671777,0.11003040753230003,0.11510767528935584,420896,1.0727920129888335,377727,0.9627616054565336,0.14800649350906195
Twitter,#Dance,Reel,USA,4006009,491965,60534,31438,High,0.12280676353947283,0.015110799800998949,0.007847710776486024,583937,0.1457652741169578,523403,0.13065447431595886,1.5112399418248692
YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,Medium,0.09903275509397608,0.020810975171226567,0.00837790988594383,504551,0.12822164015114648,422660,0.1074106649799199,1.4887468601687708
Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low,0.012080778301469334,0.018944937337555905,0.010426158428613807,117094,0.04145187406763905,63578,0.02250693673008314,1.1028051746679441
Twitter,#Dance,Video,Australia,197986,184395,9408,7599,Medium,0.9313537320820664,0.04751851140989767,0.038381501722344,201402,1.017253745214308,191994,0.9697352338044104,0.07468888640093883
YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,High,0.20710009334533716,0.03661109731611427,0.002683842092332023,564612,0.24639503275378347,480718,0.20978393543766918,0.8669524355595722
Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,Low,0.011619955110842975,0.0011688880077082506,0.007482755285452889,71469,0.020271598404004117,67348,0.019102710396295866,1.3299986933177956
TikTok,#Music,Reel,USA,866896,122451,79602,25491,Low,0.1412522378693638,0.09182416345213266,0.0294049113157749,227544,0.26248131263727137,147942,0.1706571491851387,0.327224556702549
YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,Medium,0.0807728524668446,0.014709096158273715,0.003243729192222749,405223,0.09872567781734107,344849,0.08401658165906735,1.5528913773126356
TikTok,#Dance,Tweet,India,2601441,93254,55921,48758,Low,0.035847055535758836,0.02149616308807311,0.018742689148052945,197933,0.07608590777188488,142012,0.05458974468381178,0.9819579026928672
Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,High,0.18615623057187639,0.06333809094332023,1.5761407318546798e-05,284948,0.24951008292251517,212614,0.18617199197919493,0.4458469868239413
YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,Low,0.12058967042936215,0.008987096202810421,0.00273707726080797,392918,0.13231384389298054,366230,0.12332674769017013,1.123501750635628
TikTok,#Education,Post,Japan,855465,14117,73654,46422,High,0.01650213626507221,0.08609820390080249,0.05426522417632516,134193,0.15686556434219986,60539,0.07076736044139736,0.3229097324241271
YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,High,0.08444088067275347,0.00819632559769833,0.004405564304061181,432176,0.09704277057451298,395674,0.08884644497681465,1.6849017197600589
Twitter,#Dance,Reel,Japan,1059696,75851,99754,47614,High,0.07157807522157297,0.09413454424665187,0.0449317540124715,223219,0.21064437348069634,123465,0.11650982923404449,0.39976318610169037
Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,High,0.5877209724593648,0.11610500415250259,0.0008339394439601291,409814,0.7046599160558276,342290,0.5885549119033249,0.2193960102552645
YouTube,#Fitness,Tweet,Australia,4226427,421149,53769,27804,Medium,0.09964658090628326,0.01272209362660233,0.006578606468300529,502722,0.11894728100118611,448953,0.10622518737458378,1.5990074503302594
Twitter,#Dance,Reel,Japan,485214,50577,92342,43775,Medium,0.10423648122271822,0.19031190361366324,0.09021792446219606,186694,0.3847663092985775,94352,0.1944544056849143,0.18304371685950083
Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,Low,0.048403854050958615,0.06910962237823316,0.025720204465588176,203349,0.14323368089477995,105234,0.0741240585165468,0.554249374395538
TikTok,#Fashion,Post,Germany,4378457,136878,89273,41624,Medium,0.03126169789951117,0.020389146222059507,0.009506545342343204,267775,0.061157389463913886,178502,0.04076824324185438,1.6527226459300455
TikTok,#Music,Post,India,3647159,216783,79133,7687,High,0.05943886734853073,0.02169716209246704,0.002107667913573277,303603,0.08324369735457104,224470,0.06154653526210401,1.3766818476480593
YouTube,#Gaming,Video,USA,1750105,125485,942,20317,Low,0.07170141220098222,0.0005382534190805694,0.011609017744649607,146744,0.0838486833647124,145802,0.08331042994563183,0.6621268825559363
Instagram,#Dance,Tweet,India,1796369,145118,68421,16720,High,0.08078407053339264,0.038088499634540564,0.00930766451658874,230259,0.12818023468452194,161838,0.09009173504998137,0.7013000585570752
Twitter,#Fitness,Shorts,India,1535141,15408,23087,23147,Medium,0.010036863063392874,0.015039009446037855,0.015078093803761348,61642,0.040153966313192076,38555,0.02511495686715422,0.5791216134394535
Twitter,#Challenge,Video,Australia,612594,132163,29340,40557,Medium,0.2157432165512558,0.047894690447506834,0.06620534970959559,202060,0.32984325670835823,172720,0.2819485662608514,0.2310969648151724
Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,Medium,0.04076090047662924,0.0011951279163680624,0.0008142890185684439,180475,0.04277031741156575,175432,0.04157518949519769,1.6473386974999615
Twitter,#Viral,Shorts,Japan,3994554,241425,99422,41307,High,0.060438537068218376,0.02488938690026471,0.01034082903873624,382154,0.09566875300721933,282732,0.07077936610695462,1.5069186201469589
Instagram,#Challenge,Shorts,India,4290853,211176,66264,14337,Medium,0.0492153891079466,0.01544308322843966,0.0033412936775042163,291777,0.06799976601389048,225513,0.052556682785450816,1.6751432807846283
Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657,Low,0.047339509924137574,0.0012574729172120892,0.00704258155674759,258005,0.05563956439809725,252174,0.05438209148088516,1.8103090584026584
Instagram,#Comedy,Shorts,Brazil,3315125,62336,79392,42892,High,0.018803514196297274,0.023948418234606538,0.012938275328984578,184620,0.055690207759888394,105228,0.03174178952528185,1.294220372665095
Twitter,#Fitness,Shorts,Brazil,4357287,106179,4262,12978,Medium,0.024368144673508996,0.0009781315759095051,0.002978458843771365,123419,0.02832473509318987,119157,0.02734660351728036,1.6437572038390975
TikTok,#Fitness,Shorts,Canada,907386,52457,77192,32870,High,0.057811118972521065,0.0850707416689259,0.036224936245434686,162519,0.17910679688688166,85327,0.09403605521795576,0.3425081919954633
Twitter,#Gaming,Post,India,1908555,194688,34182,3500,High,0.10200806369216502,0.01790988470334887,0.0018338481206986437,232370,0.12175179651621253,198188,0.10384191181286366,0.7199895325171669
Twitter,#Challenge,Post,Japan,3074269,18233,37713,28599,Medium,0.005930840794998746,0.012267306471879982,0.009302699275827848,84545,0.027500846542706577,46832,0.015233540070826593,1.159747295803379
YouTube,#Dance,Post,Brazil,4067125,190686,12963,11560,High,0.04688471586194179,0.003187263730522175,0.0028423026093370623,215209,0.05291428220180103,202246,0.049727018471278854,1.5387378455665874
YouTube,#Fitness,Reel,Japan,1173157,137342,95328,47250,Low,0.11707043473294708,0.08125766627996082,0.04027593919654403,279920,0.23860404020945195,184592,0.1573463739294911,0.44384696184438915
TikTok,#Fitness,Reel,Germany,2141884,23466,66627,40003,High,0.01095577538279384,0.0311067266014406,0.01867654830980576,130096,0.0607390502940402,63469,0.029632323692599598,0.8084903407193971
Twitter,#Comedy,Post,India,4567233,66980,96596,49121,Low,0.01466533456909249,0.02114978587691935,0.010755089569549002,212697,0.046570210015560845,116101,0.02542042413864149,1.722957919770181
Twitter,#Gaming,Post,UK,506074,69145,31191,43362,Low,0.13663021613439932,0.061633278927587666,0.08568312144073792,143698,0.2839466165027249,112507,0.22231333757513724,0.19091301150823148
YouTube,#Comedy,Tweet,UK,3210080,195970,75414,4473,High,0.061048322783232814,0.023492872451776902,0.0013934232168668693,275857,0.08593461845187658,200443,0.062441746000099684,1.214487281137509
TikTok,#Music,Reel,India,1347102,274212,15298,28342,High,0.2035569689600342,0.011356229892020056,0.02103923830563684,317852,0.2359524371576911,302554,0.22459620726567106,0.508486432955184
TikTok,#Tech,Post,Australia,3843536,90333,10903,30677,Medium,0.023502576793868978,0.002836710778824499,0.00798145249582676,131913,0.03432074006852024,121010,0.031484029289695736,1.4508076675521497
Instagram,#Viral,Reel,Germany,965073,263310,39207,27324,High,0.2728394639576488,0.0406259422862312,0.02831288410306785,329841,0.34177829034694784,290634,0.30115234806071667,0.37676321034923904
YouTube,#Education,Post,Canada,3096420,364521,73308,29082,Low,0.11772337086054217,0.02367508283759955,0.009392136725637995,466911,0.1507905904237797,393603,0.12711550758618018,1.1714856661079491
YouTube,#Gaming,Tweet,Germany,2723916,1349,81918,11870,High,0.0004952428782679055,0.030073614604855657,0.004357696786538205,95137,0.034926554269661764,13219,0.00485293966480611,1.0305541721349496
TikTok,#Music,Live Stream,UK,2249678,46464,83075,5710,Medium,0.020653622429521026,0.036927506958773657,0.002538141013958442,135249,0.06011927040225312,52174,0.023191763443479466,0.8491790091008345
Twitter,#Viral,Shorts,Germany,3311289,352538,55203,5369,Medium,0.10646548821320036,0.016671151325058007,0.0016214229564378102,413110,0.12475806249469618,357907,0.10808691116963817,1.2491614960738553
Instagram,#Music,Tweet,India,3588997,241125,65026,30917,Medium,0.06718450865241737,0.018118153902051185,0.008614384464517524,337068,0.09391704701898608,272042,0.0757988931169349,1.4011396357102395
Twitter,#Fitness,Live Stream,USA,3926751,302919,49216,30399,Low,0.07714240093145708,0.012533516894755995,0.007741514549814847,382534,0.09741743237602792,333318,0.08488391548127192,1.4813403945924102
YouTube,#Music,Tweet,UK,2750317,59766,75524,27938,High,0.02173058596518147,0.027460107325810078,0.010158101775177189,163228,0.05934879506616873,87704,0.031888687740358655,1.0405426081581364
TikTok,#Challenge,Reel,Germany,4655757,383024,45530,48504,Medium,0.08226889848417776,0.00977929045695469,0.010418069499761264,477058,0.10246625844089371,431528,0.09268696798393902,1.7573942208059439
Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,High,0.09347148603265228,0.00926133130966645,0.004927733457307703,521509,0.10766055079962643,476647,0.09839921948995997,1.8910958156432085
Twitter,#Dance,Video,USA,3868789,188191,4660,26605,Medium,0.04864338685826495,0.0012045112824710781,0.006876828899172325,219456,0.05672472703990836,214796,0.05552021575743728,1.4594746200751656
Twitter,#Viral,Tweet,Australia,2517364,418305,51641,34605,High,0.16616786448046447,0.020513918527475566,0.013746522155715264,504551,0.2004283051636553,452910,0.17991438663617976,0.9496586315487608
Instagram,#Dance,Video,Brazil,1994041,310266,87995,40217,Medium,0.1555966000699083,0.044128982302771104,0.020168592320819884,438478,0.21989417469349928,350483,0.1757651923907282,0.7784709433669857
TikTok,#Education,Shorts,Australia,1402998,241244,56779,14849,High,0.17194892651308127,0.04046976545939481,0.01058376419638517,312872,0.22300245616886125,256093,0.18253269070946646,0.529585323504276
YouTube,#Fashion,Live Stream,Brazil,702950,17361,62405,10538,Low,0.024697346895227255,0.08877587310619532,0.014991108898214667,90304,0.12846432889963724,27899,0.03968845579344192,0.26595095271009195
Instagram,#Education,Tweet,Canada,1599554,364748,16705,8949,High,0.22803106365899495,0.010443536135697826,0.005594684518309479,390402,0.24406928431300226,373697,0.23362574817730442,0.6244637454026449
TikTok,#Tech,Post,Australia,4600976,443617,98343,18038,High,0.09641802087209322,0.021374377958068028,0.003920472525829302,559998,0.12171287135599056,461655,0.10033849339792253,1.7367162058644487
Twitter,#Viral,Shorts,USA,2495410,213884,16804,17614,Low,0.08571096533235019,0.006733963557090819,0.007058559515270036,248302,0.09950348840471104,231498,0.09276952484762023,0.9413766327607344
TikTok,#Dance,Video,Germany,1838563,289125,77191,27066,High,0.15725596566448907,0.041984419353593,0.014721279608041715,393382,0.21396166462612376,316191,0.17197724527253078,0.6939966993096157
YouTube,#Tech,Shorts,India,2920650,416403,56902,2675,Low,0.14257203019875714,0.01948264941023402,0.000915892010340164,475980,0.16297057161933132,419078,0.14348792220909729,1.1049856320260758
TikTok,#Viral,Video,Germany,1772623,361245,30503,13260,Low,0.2037912178731744,0.017207832686363653,0.007480440003317118,405008,0.22847949056285516,374505,0.2112716578764915,0.6691065310899376
Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,High,0.040898597802613595,0.032213306283623455,0.014604025656971841,217914,0.0877159297432089,137886,0.05550262345958544,0.9698732582082079
YouTube,#Comedy,Live Stream,India,4927173,22341,38730,42476,Medium,0.004534243063923268,0.007860491198502672,0.008620764888912972,103547,0.02101549915133891,64817,0.01315500795283624,1.8641245515576383
TikTok,#Challenge,Video,UK,3924183,283030,30676,43977,Low,0.07212456707549061,0.00781716856731707,0.011206663909404837,357683,0.09114839955221253,327007,0.08333123098489545,1.4812492416560683
Instagram,#Music,Post,USA,4646060,21362,31562,19778,Medium,0.004597874327925167,0.0067932829106813085,0.0042569402891912715,72702,0.015648097527797746,41140,0.008854814617116439,1.8138156192072368
YouTube,#Fitness,Video,USA,3901900,20166,30661,25363,Low,0.005168251364719752,0.007857966631640996,0.006500166585509623,76190,0.019526384581870372,45529,0.011668417950229375,1.4762273595270043
Instagram,#Fashion,Video,Japan,962137,319381,69098,38387,Low,0.33194960800800716,0.07181721521986993,0.039897644514242776,426866,0.4436644677421199,357768,0.3718472525222499,0.3756169998702542
TikTok,#Education,Video,Germany,3859007,277223,81798,46985,Medium,0.0718379106334868,0.021196644629045764,0.012175411964787834,406006,0.1052099672273204,324208,0.08401332259827464,1.4566474581576494
Twitter,#Challenge,Shorts,UK,3837223,140163,85932,40674,Medium,0.03652719688170325,0.022394320059063548,0.010599853070827524,266769,0.06952137001159432,180837,0.047127049952530774,1.4475665589590663
Instagram,#Comedy,Post,UK,1029488,449148,87211,35005,High,0.4362828901356791,0.08471298354133316,0.03400233902677836,571364,0.5549982127037906,484153,0.47028522916245746,0.40191074032328894
Twitter,#Fashion,Post,Germany,879364,232290,7501,23547,Low,0.2641568224307568,0.008530028520612624,0.026777307235683973,263338,0.29946415818705335,255837,0.2909341296664407,0.33173415242024773
TikTok,#Comedy,Live Stream,USA,4828597,131837,43770,9395,Low,0.027303376115256666,0.009064744893806627,0.0019456997550220073,185002,0.0383138207640853,141232,0.029249075870278675,1.8226356019871566
YouTube,#Education,Video,India,3487375,107303,83451,45313,High,0.030768988135775475,0.023929459837270153,0.012993440625112011,236067,0.06769188859815764,152616,0.043762428760887484,1.319397828732281
TikTok,#Dance,Tweet,India,3418884,311286,82479,7832,High,0.09104900897485846,0.02412453888461849,0.0022908060057024457,401597,0.1174643538651794,319118,0.0933398149805609,1.290515588164483
YouTube,#Challenge,Reel,Brazil,1337059,318166,72711,32791,High,0.2379595814395625,0.0543812950662611,0.02452472179612119,423668,0.3168655983019448,350957,0.26248430323568367,0.5058569099930335
TikTok,#Education,Live Stream,Canada,707841,133933,46058,45912,High,0.18921339679391275,0.0650682851092265,0.06486202409863231,225903,0.3191437060017716,179845,0.2540754208925451,0.2671865569121198
TikTok,#Fitness,Shorts,Australia,1851460,345987,13274,43872,Low,0.18687252222570297,0.007169477061346181,0.02369589405118123,403133,0.21773789333823038,389859,0.2105684162768842,0.6988648900819723
Instagram,#Fashion,Tweet,Canada,1438248,223413,84930,42774,Low,0.1553369099070536,0.05905101206467869,0.029740350760091443,351117,0.24412827273182372,266187,0.18507726066714503,0.5614900984261008
Instagram,#Fashion,Live Stream,Brazil,4027409,80497,44156,14597,Medium,0.019987292077859486,0.010963872802588464,0.003624414605022733,139250,0.03457557948547069,95094,0.02361170668288222,1.5722950950129353
Instagram,#Music,Video,India,3488909,443844,19877,22056,Low,0.1272156998075903,0.005697196458835699,0.006321746998846917,485777,0.1392346432652729,465900,0.1335374468064372,1.3620654141773247
TikTok,#Fitness,Video,USA,1089083,150418,45387,25632,Medium,0.13811435859342217,0.04167450965628882,0.023535396292109968,221437,0.20332426454182095,176050,0.16164975488553215,0.4110927976219549
TikTok,#Fashion,Live Stream,Germany,682046,480038,71997,18117,High,0.7038205634224085,0.10556032877547848,0.02656272450831762,570152,0.8359436167062045,498155,0.730383287930726,0.2574497979004941
YouTube,#Tech,Live Stream,Brazil,4849297,86843,16843,14705,Low,0.017908368986267496,0.0034732869527273748,0.003032398304331535,118391,0.024414054243326405,101548,0.02094076729059903,1.8346612947210907
Instagram,#Challenge,Tweet,USA,4283565,107901,84854,4738,Low,0.02518953255057411,0.01980920098095862,0.0011060880364836298,197493,0.04610482156801636,112639,0.02629562058705774,1.6722980553177202
Twitter,#Viral,Post,USA,3940355,82304,68754,15897,Low,0.020887458109738844,0.017448681654317948,0.004034408067293429,166955,0.04237054783135022,98201,0.02492186617703227,1.486472412061314
Instagram,#Education,Reel,Canada,964498,194879,76029,34998,High,0.2020522593100245,0.07882753515300188,0.03628623387503136,305906,0.31716602833805774,229877,0.23833849318505584,0.37653873111714903
TikTok,#Tech,Shorts,UK,636824,363548,17456,8176,Low,0.570876725751542,0.027411027222592112,0.01283871210884012,389180,0.6111264650829743,371724,0.5837154378603822,0.24037998917695325
TikTok,#Comedy,Reel,India,4179125,94325,72341,7328,Low,0.022570514162653665,0.01731008285227171,0.0017534771034606526,173994,0.04163407411838602,101653,0.024323991266114318,1.577481411299095
Instagram,#Gaming,Video,Brazil,1292958,95304,3716,44880,Low,0.07371005090652596,0.002874029937554043,0.03471110430501223,143900,0.11129518514909224,140184,0.1084211552115382,0.5047690764602589
Instagram,#Viral,Reel,UK,4103477,75909,5645,4052,Low,0.018498702441856016,0.0013756626392690881,0.0009874552726870408,85606,0.020861820353812146,79961,0.019486157714543057,1.6019919406244547
Twitter,#Education,Reel,Germany,3529777,68367,38326,879,High,0.019368645667984123,0.01085790972064241,0.00024902423014258406,107572,0.03047557961876912,69246,0.01961766989812671,1.331584624032238
Instagram,#Fashion,Reel,USA,4593170,34210,33344,11022,Low,0.00744801520518509,0.007259474393501656,0.0023996499149824633,78576,0.017107139513669208,45232,0.009847665120167553,1.7931674338416
TikTok,#Challenge,Shorts,Brazil,3251679,498580,96093,9968,Medium,0.1533300181229451,0.029551810003385942,0.0030654932421066163,604641,0.18594732136843767,508548,0.15639551136505173,1.2274012330360133
Twitter,#Dance,Shorts,Canada,2127698,193956,14856,32442,Medium,0.09115767369241312,0.006982193901578138,0.015247464630788767,241254,0.11338733222478002,226398,0.10640513832320188,0.8026597548185465
YouTube,#Education,Shorts,Australia,4765117,177035,49884,46238,Medium,0.03715228818096177,0.010468578211196074,0.009703434354287627,273157,0.05732430074644547,223273,0.046855722535249396,1.8028130107760938
