Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Like_Rate,Share_Rate,Comment_Rate,engagement_rate,like_to_comment_ratio,share_to_like_ratio,Views_norm
YouTube,#Gaming,Live Stream,Canada,3079923.0,124237.0,44062.0,26702.0,Medium,0.0403376967541071,0.0143062018108894,0.008669697261912,0.0633135958269086,4.652548402801183,0.3546579951383635,1.209877609752426
TikTok,#Tech,Shorts,UK,2051091.0,24472.0,54704.0,41737.0,Medium,0.0119312112431871,0.0266706840408348,0.0203486827254373,0.0589505780094593,0.586324212947434,2.2352796959915007,0.8155381468858979
TikTok,#Fashion,Post,USA,3461154.0,165335.0,50077.0,19505.0,Low,0.0477687499602733,0.0144682958342795,0.0056354036832802,0.0678724494778331,8.47610991489798,0.302880195480718,1.376195946082701
YouTube,#Education,Tweet,UK,3143932.0,298685.0,84720.0,37162.0,Low,0.0950036451170063,0.0269471477118461,0.0118202302085414,0.1337710230373939,8.037160616742458,0.2836423535083666,1.2350220876899078
TikTok,#Viral,Live Stream,USA,3924406.0,35376.0,72832.0,3949.0,Medium,0.0090143578416708,0.0185587322004909,0.001006266935684,0.0285793569778458,8.955949367088607,2.058738728552449,1.5603904443381102
YouTube,#Dance,Shorts,Brazil,599766.0,223690.0,22531.0,10538.0,Low,0.3729621218942054,0.0375663175305035,0.0175701857057585,0.4280986251304675,21.224973906442735,0.1007237662668592,0.2356044142956734
Twitter,#Education,Shorts,Japan,4357851.0,449803.0,63438.0,28280.0,High,0.1032167001579448,0.0145571750846919,0.0064894371101719,0.1242633123528087,15.904777058802727,0.141034761807365,1.7389636969089686
YouTube,#Dance,Live Stream,Brazil,4910814.0,197287.0,53218.0,14896.0,Low,0.0401739915215685,0.0108368999518206,0.0030333056800766,0.0540441971534658,13.243404712358194,0.2697477798953813,1.9291014432045053
Instagram,#Gaming,Video,India,4369260.0,212278.0,21264.0,18172.0,Low,0.0485844284844573,0.0048667280042844,0.0041590566823672,0.057610213171109,11.6809552633027,0.1001700592145242,1.817435452202532
YouTube,#Tech,Post,Canada,1874437.0,322601.0,35671.0,48768.0,Medium,0.1721055442247459,0.0190302474823106,0.026017412161625,0.2171532038686816,6.6148783038405545,0.1105727800819585,0.7363298878548289
Instagram,#Gaming,Live Stream,Canada,1653907.0,91836.0,77370.0,2823.0,Low,0.0555267013199653,0.0467801393911507,0.0017068674357143,0.1040137081468305,32.51983002832861,0.8424708995285125,0.6879584223520533
YouTube,#Education,Shorts,Japan,4683280.0,311330.0,3357.0,5110.0,Medium,0.0664769136160981,0.0007168053159324,0.001091115628363,0.0682848345603935,60.913715515554685,0.0107827360590496,1.8397198930626968
Instagram,#Comedy,Reel,Australia,1365655.0,156164.0,84930.0,18303.0,Low,0.1143509890858232,0.0621899381615415,0.0134023600396879,0.1899432872870527,8.531687062937063,0.5438478532321583,0.5680572482474489
Twitter,#Music,Video,USA,2342195.0,91944.0,89578.0,44440.0,Medium,0.039255484705586,0.0382453211624138,0.01897365505434,0.0964744609223399,2.0689003397763326,0.9742563489042362,0.9346331657694816
YouTube,#Gaming,Live Stream,USA,4977438.0,8731.0,4500.0,46045.0,Low,0.0017541152697431,0.0009040795686455,0.0092507430529521,0.0119089378913408,0.1896147330929939,0.5153458543289052,1.95527316433914
YouTube,#Viral,Reel,Australia,3005703.0,16688.0,77970.0,15891.0,Low,0.0055521121015615,0.0259406867544797,0.0052869495089834,0.0367797483650247,1.050088094638812,4.671939600934747,1.18072197300572
YouTube,#Education,Tweet,UK,936390.0,368646.0,92202.0,2016.0,Low,0.393688527216224,0.0984653830134879,0.0021529490917246,0.4943068593214366,182.7694595934556,0.2501091830396015,0.3678394865703052
TikTok,#Education,Live Stream,Japan,1855796.0,158156.0,6423.0,20518.0,High,0.0852227292223929,0.0034610485204192,0.0110561721223668,0.0997399498651791,7.707783030362103,0.0406115442250422,0.7378865349408006
Instagram,#Dance,Video,India,1367820.0,10794.0,7617.0,36639.0,Medium,0.0078913892178795,0.0055687151818221,0.0267864192656928,0.0402465236653945,0.2945960698689956,0.7056044465030107,0.5689578006874543
TikTok,#Gaming,Shorts,USA,4499253.0,469481.0,89583.0,41549.0,High,0.1043464326189258,0.0199106384993242,0.0092346440620254,0.1334917151802754,11.299181708784596,0.1908124273135072,1.788956440250977
Twitter,#Comedy,Post,USA,4510477.0,274631.0,82143.0,13932.0,Low,0.0608873518255386,0.0182115993496918,0.0030888085672535,0.082187759742484,19.71083040264121,0.2991020711351918,1.7998678152931054
Twitter,#Education,Reel,India,4380015.0,355402.0,41860.0,42729.0,High,0.0811417312497788,0.0095570448959649,0.009755446042993,0.1004542221887368,8.317388251813714,0.1177817857474472,1.7478080542259788
YouTube,#Fashion,Live Stream,Australia,943395.0,402996.0,18661.0,11999.0,High,0.4271763153292099,0.0197806857148914,0.0127189565346434,0.4596759575787448,33.583,0.0463055556244835,0.3705912412915485
Twitter,#Comedy,Post,Brazil,3961278.0,49656.0,93072.0,23952.0,Medium,0.012535348440579,0.0234954476812786,0.0060465334672295,0.0420773295890871,2.07305974199474,1.8742976820992008,1.5807145850934703
YouTube,#Comedy,Shorts,Brazil,4080112.0,171609.0,17994.0,41339.0,Medium,0.0420598748269655,0.004410173054073,0.0101318297144784,0.0566018775955169,4.151161103047896,0.1048540294854612,1.6027790805426598
Twitter,#Comedy,Shorts,Germany,3934142.0,380972.0,42858.0,26194.0,Low,0.0968373790269898,0.0108938619907466,0.0066581226605445,0.114389363678281,14.543691544187825,0.112496161145278,1.5698861930994987
Instagram,#Tech,Reel,Japan,1600237.0,325368.0,62818.0,25686.0,Medium,0.2033248825017794,0.0392554352886478,0.0160513723904646,0.2586316901808919,12.66664071320123,0.1930669486029707,0.6656338729501614
Instagram,#Dance,Live Stream,India,2212857.0,74624.0,24137.0,35546.0,Medium,0.0337229201886972,0.0109076185221186,0.0160633967762037,0.0606939354870197,2.099305145300588,0.3234438860971524,0.9204590165049772
Twitter,#Gaming,Live Stream,USA,4711157.0,313821.0,86074.0,36395.0,High,0.0666122992717075,0.0182702465657586,0.0077252785249992,0.0926078243624655,8.622403560830861,0.2742765006914748,1.879947477194279
Instagram,#Fashion,Reel,Japan,2747788.0,422463.0,21545.0,40997.0,Low,0.1537465772468618,0.0078408523510547,0.0149200011063444,0.176507430704261,10.304478267232549,0.0509984282684441,1.1429686780682975
YouTube,#Dance,Post,Australia,2081426.0,225061.0,67840.0,28774.0,Medium,0.1081282735970435,0.0325930395795959,0.0138241763098952,0.1545454894865347,7.821407471763684,0.3014280509370751,0.8176408026293362
YouTube,#Music,Live Stream,Canada,2258494.0,159509.0,25505.0,8605.0,Medium,0.0706262668840386,0.0112929235145189,0.0038100610406757,0.0857292514392334,18.534627004415523,0.1598959312895743,0.8871979339613996
YouTube,#Comedy,Tweet,Japan,1357850.0,472399.0,90644.0,33331.0,Low,0.3479021983282395,0.0667555326435173,0.0245468939868173,0.4392046249585742,14.17253690147606,0.1918797629127857,0.5334004494275771
Twitter,#Dance,Reel,USA,4006009.0,491965.0,60534.0,31438.0,High,0.1228067635394728,0.0151107998009989,0.007847710776486,0.1457652741169578,15.648239447819588,0.1230450884817243,1.598564113479465
YouTube,#Fitness,Tweet,Australia,3934991.0,389693.0,81891.0,32967.0,Medium,0.099032755093976,0.0208109751712265,0.0083779098859438,0.1282216401511464,11.820340936665858,0.2101418035689541,1.545771600613817
Instagram,#Challenge,Live Stream,Australia,2824818.0,34126.0,53516.0,29452.0,Low,0.0120807783014693,0.0189449373375559,0.0104261584286138,0.041451874067639,1.1586595592978643,1.5681425264453366,1.175010042712004
YouTube,#Challenge,Post,Germany,2291491.0,474568.0,83894.0,6150.0,High,0.2071000933453371,0.0366110973161142,0.002683842092332,0.2463950327537834,77.15298325475533,0.1767793513693477,0.9001600539523866
Twitter,#Music,Live Stream,UK,3525573.0,40967.0,4121.0,26381.0,Low,0.0116199551108429,0.0011688880077082,0.0074827552854528,0.0202715984040041,1.5528390569327573,0.1005907049404413,1.4068501786321843
TikTok,#Music,Reel,USA,866896.0,122451.0,79602.0,25491.0,Low,0.1412522378693638,0.0918241634521326,0.0294049113157749,0.2624813126372713,4.803506982582771,0.6500669650148629,0.3446881476164623
YouTube,#Tech,Video,Australia,4104535.0,331535.0,60374.0,13314.0,Medium,0.0807728524668446,0.0147090961582737,0.0032437291922227,0.098725677817341,24.89936162223057,0.1821039042517253,1.612373099894112
TikTok,#Dance,Tweet,India,2601441.0,93254.0,55921.0,48758.0,Low,0.0358470555357588,0.0214961630880731,0.0187426891480529,0.0760859077718848,1.912549478045079,0.5996568548603292,1.034363844594412
Instagram,#Gaming,Shorts,Canada,1142030.0,212596.0,72334.0,18.0,High,0.1861562305718763,0.0633380909433202,1.5761407318546798e-05,0.2495100829225151,11189.263157894737,0.3402399845717484,0.4750382924062328
YouTube,#Fashion,Shorts,Canada,2969591.0,358102.0,26688.0,8128.0,Low,0.1205896704293621,0.0089870962028104,0.0027370772608079,0.1323138438929805,44.052404969860994,0.0745260441828189,1.1665361962043586
YouTube,#Viral,Video,Brazil,4453459.0,376054.0,36502.0,19620.0,High,0.0844408806727534,0.0081963255976983,0.0044055643040611,0.0970427705745129,19.16589368533714,0.0970655888101474,1.7494399470540103
Twitter,#Dance,Reel,Japan,1059696.0,75851.0,99754.0,47614.0,High,0.0715780752215729,0.0941345442466518,0.0449317540124715,0.2106443734806963,1.5930064055444713,1.3151136423561671,0.4228627536277964
YouTube,#Fitness,Tweet,Australia,4226427.0,421149.0,53769.0,27804.0,Medium,0.0996465809062832,0.0127220936266023,0.0065786064683005,0.1189472810011861,15.1465204099982,0.1276718508844829,1.6602555961798775
Instagram,#Education,Tweet,Australia,1419701.0,68719.0,98115.0,36515.0,Low,0.0484038540509586,0.0691096223782331,0.0257202044655881,0.1432336808947799,1.88188739182824,1.4277502910360884,0.5905381984426165
TikTok,#Fashion,Post,Germany,4378457.0,136878.0,89273.0,41624.0,Medium,0.0312616978995111,0.0203891462220595,0.0095065453423432,0.0611573894639138,3.28836036036036,0.6522037712139919,1.7409265156931544
TikTok,#Music,Post,India,3647159.0,216783.0,79133.0,7687.0,High,0.0594388673485307,0.021697162092467,0.0021076679135732,0.083243697354571,28.19758064516129,0.3650315521440697,1.4501537436701857
YouTube,#Gaming,Video,USA,1750105.0,125485.0,942.0,20317.0,Low,0.0717014122009822,0.0005382534190805,0.0116090177446496,0.0838486833647124,6.176050792400827,0.0075068135090767,0.6874888931365393
Instagram,#Dance,Tweet,India,1796369.0,145118.0,68421.0,16720.0,High,0.0807840705333926,0.0380884996345405,0.0093076645165887,0.1281802346845219,8.678787153878357,0.4714820250966448,0.7472168527021988
Twitter,#Fitness,Shorts,India,1535141.0,15408.0,23087.0,23147.0,Medium,0.0100368630633928,0.0150390094460378,0.0150780938037613,0.040153966313192,0.6656298600311042,1.4982802258420405,0.6125850720083204
Twitter,#Challenge,Video,Australia,612594.0,132163.0,29340.0,40557.0,Medium,0.2157432165512558,0.0478946904475068,0.0662053497095955,0.3298432567083582,3.258617288820948,0.2219969129263642,0.2444504704140304
Instagram,#Challenge,Reel,USA,4219632.0,171996.0,5043.0,3436.0,Medium,0.0407609004766292,0.001195127916368,0.0008142890185684,0.0427703174115657,50.04247890602269,0.0293202788420728,1.7551962556699012
Twitter,#Viral,Shorts,Japan,3994554.0,241425.0,99422.0,41307.0,High,0.0604385370682183,0.0248893869002647,0.0103408290387362,0.0956687530072193,5.844509538103999,0.411811486749563,1.593993092316031
Instagram,#Challenge,Shorts,India,4290853.0,211176.0,66264.0,14337.0,Medium,0.0492153891079466,0.0154430832284396,0.0033412936775042,0.0679997660138904,14.728414004742644,0.3137841715717147,1.7848213112494082
Instagram,#Gaming,Live Stream,Japan,4637078.0,219517.0,5831.0,32657.0,Low,0.0473395099241375,0.001257472917212,0.0070425815567475,0.0556395643980972,6.721691469165289,0.0265627420074891,1.928836908727888
Instagram,#Comedy,Shorts,Brazil,3315125.0,62336.0,79392.0,42892.0,High,0.0188035141962972,0.0239484182346065,0.0129382753289845,0.0556902077598883,1.4532907467418923,1.2735935319312768,1.378957925022296
Twitter,#Fitness,Shorts,Brazil,4357287.0,106179.0,4262.0,12978.0,Medium,0.0243681446735089,0.0009781315759095,0.0029784588437713,0.0283247350931898,8.18083057246321,0.0401393859483895,1.7387386374645184
TikTok,#Fitness,Shorts,Canada,907386.0,52457.0,77192.0,32870.0,High,0.057811118972521,0.0850707416689259,0.0362249362454346,0.1791067968868816,1.5958443612911075,1.4715010103320751,0.360787452604593
Twitter,#Gaming,Post,India,1908555.0,194688.0,34182.0,3500.0,High,0.102008063692165,0.0179098847033488,0.0018338481206986,0.1217517965162125,55.609254498714655,0.1755723230382815,0.7615927801464751
Twitter,#Challenge,Post,Japan,3074269.0,18233.0,37713.0,28599.0,Medium,0.0059308407949987,0.0122673064718799,0.0093026992758278,0.0275008465427065,0.6375174825174825,2.0682790391576176,1.2267611227489508
YouTube,#Dance,Post,Brazil,4067125.0,190686.0,12963.0,11560.0,High,0.0468847158619417,0.0031872637305221,0.002842302609337,0.052914282201801,16.49390191159934,0.0679805125677156,1.597677433352826
YouTube,#Fitness,Reel,Japan,1173157.0,137342.0,95328.0,47250.0,Low,0.117070434732947,0.0812576662799608,0.040275939196544,0.2386040402094519,2.9066474783602465,0.6940870666870536,0.4608480104938749
TikTok,#Fitness,Reel,Germany,2141884.0,23466.0,66627.0,40003.0,High,0.0109557753827938,0.0311067266014406,0.0186765483098057,0.0607390502940402,0.5865913408659134,2.8391784207610686,0.8516385222325847
Twitter,#Comedy,Post,India,4567233.0,66980.0,96596.0,49121.0,Low,0.0146653345690924,0.0211497858769193,0.010755089569549,0.0465702100155608,1.36354382964863,1.4421403084456783,1.8225158185363928
Twitter,#Gaming,Post,UK,506074.0,69145.0,31191.0,43362.0,Low,0.1366302161343993,0.0616332789275876,0.0856831214407379,0.2839466165027249,1.5945621843507138,0.4510890000867729,0.2019445625721277
YouTube,#Comedy,Tweet,UK,3210080.0,195970.0,75414.0,4473.0,High,0.0610483227832328,0.0234928724517769,0.0013934232168668,0.0859346184518765,43.80196691998212,0.3848222441075465,1.2610068230647544
TikTok,#Music,Reel,India,1347102.0,274212.0,15298.0,28342.0,High,0.2035569689600342,0.01135622989202,0.0210392383056368,0.2359524371576911,9.67476978442649,0.0557887481629244,0.5356237576715449
TikTok,#Tech,Post,Australia,3843536.0,90333.0,10903.0,30677.0,Medium,0.0235025767938689,0.0028367107788244,0.0079814524958267,0.0343207400685202,2.944553099941326,0.1206965262248987,1.528235571668559
Instagram,#Viral,Reel,Germany,965073.0,263310.0,39207.0,27324.0,High,0.2728394639576488,0.0406259422862312,0.0283128841030678,0.3417782903469478,9.63623055809698,0.1488999699974554,0.4014313371517038
YouTube,#Education,Post,Canada,3096420.0,364521.0,73308.0,29082.0,Low,0.1177233708605421,0.0236750828375995,0.0093921367256379,0.1507905904237797,12.533817006498642,0.2011072034061044,1.21635808050708
YouTube,#Gaming,Tweet,Germany,2723916.0,1349.0,81918.0,11870.0,High,0.0004952428782679,0.0300736146048556,0.0043576967865382,0.0349265542696617,0.1136382781568528,60.68,1.070028367347622
TikTok,#Music,Live Stream,UK,2249678.0,46464.0,83075.0,5710.0,Medium,0.020653622429521,0.0369275069587736,0.0025381410139584,0.0601192704022531,8.135878129924707,1.7879048746368231,0.8944986971372664
Twitter,#Viral,Shorts,Germany,3311289.0,352538.0,55203.0,5369.0,Medium,0.1064654882132003,0.016671151325058,0.0016214229564378,0.1247580624946961,65.64953445065177,0.1565869308076553,1.3213419552375705
Instagram,#Music,Tweet,India,3588997.0,241125.0,65026.0,30917.0,Medium,0.0671845086524173,0.0181181539020511,0.0086143844645175,0.093917047018986,7.798855035901417,0.2696764347270721,1.492877600703215
Twitter,#Fitness,Live Stream,USA,3926751.0,302919.0,49216.0,30399.0,Low,0.077142400931457,0.0125335168947559,0.0077415145498148,0.0974174323760279,9.964440789473684,0.1624719397860821,1.566936876869124
YouTube,#Music,Tweet,UK,2750317.0,59766.0,75524.0,27938.0,High,0.0217305859651814,0.02746010732581,0.0101581017751771,0.0593487950661687,2.1391603135402124,1.2636404704937507,1.0803993989529812
TikTok,#Challenge,Reel,Germany,4655757.0,383024.0,45530.0,48504.0,Medium,0.0822688984841777,0.0097792904569546,0.0104180694997612,0.1024662584408937,7.896587980620555,0.1188695254878924,1.851184289790676
Instagram,#Fitness,Video,USA,4844012.0,452777.0,44862.0,23870.0,High,0.0934714860326522,0.0092613313096664,0.0049277334573077,0.1076605507996264,18.967659503162835,0.0990816691623709,2.014913083610151
Twitter,#Dance,Video,USA,3868789.0,188191.0,4660.0,26605.0,Medium,0.0486433868582649,0.001204511282471,0.0068768288991723,0.0567247270399083,7.073254153198526,0.0247619452474069,1.5438076294946184
Twitter,#Viral,Tweet,Australia,2517364.0,418305.0,51641.0,34605.0,High,0.1661678644804644,0.0205139185274755,0.0137465221557152,0.2004283051636553,12.08764376119748,0.1234526877453347,1.0045328782249665
Instagram,#Dance,Video,Brazil,1994041.0,310266.0,87995.0,40217.0,Medium,0.1555966000699083,0.0441289823027711,0.0201685923208198,0.2198941746934992,7.71460540056691,0.2836105676723596,0.8294404101713764
TikTok,#Education,Shorts,Australia,1402998.0,241244.0,56779.0,14849.0,High,0.1719489265130812,0.0404697654593948,0.0105837641963851,0.2230024561688612,16.245387205387207,0.2353582457667516,0.5578486712703732
YouTube,#Fashion,Live Stream,Brazil,702950.0,17361.0,62405.0,10538.0,Low,0.0246973468952272,0.0887758731061953,0.0149911088982146,0.1284643288996372,1.6473099914602904,3.594343969588757,0.2761378988291161
Instagram,#Education,Tweet,Canada,1599554.0,364748.0,16705.0,8949.0,High,0.2280310636589949,0.0104435361356978,0.0055946845183094,0.2440692843130022,40.75396648044693,0.0457986176795549,0.6653497725730142
TikTok,#Tech,Post,Australia,4600976.0,443617.0,98343.0,18038.0,High,0.0964180208720932,0.021374377958068,0.0039204725258293,0.1217128713559905,24.59210599257165,0.2216839713447154,1.829402713437137
Twitter,#Viral,Shorts,USA,2495410.0,213884.0,16804.0,17614.0,Low,0.0857109653323501,0.0067339635570908,0.00705855951527,0.099503488404711,12.142151575361908,0.0785655843093251,0.995772319637273
TikTok,#Dance,Video,Germany,1838563.0,289125.0,77191.0,27066.0,High,0.157255965664489,0.041984419353593,0.0147212796080417,0.2139616646261237,10.681826578490412,0.2669804860164772,0.7310344894268352
YouTube,#Tech,Shorts,India,2920650.0,416403.0,56902.0,2675.0,Low,0.1425720301987571,0.019482649410234,0.0009158920103401,0.1629705716193313,155.60650224215246,0.1366509447555739,1.1473108389149411
TikTok,#Viral,Video,Germany,1772623.0,361245.0,30503.0,13260.0,Low,0.2037912178731744,0.0172078326863636,0.0074804400033171,0.2284794905628551,27.24115828368901,0.0844383051992271,0.7048159621134903
Instagram,#Comedy,Shorts,Australia,2484315.0,101605.0,80028.0,36281.0,High,0.0408985978026135,0.0322133062836234,0.0146040256569718,0.0877159297432089,2.800424452896753,0.7876306517331654,1.0333745658163012
YouTube,#Comedy,Live Stream,India,4927173.0,22341.0,38730.0,42476.0,Medium,0.0045342430639232,0.0078604911985026,0.0086207648889129,0.0210154991513389,0.5259552228264708,1.733506400501298,1.93552770380191
TikTok,#Challenge,Video,UK,3924183.0,283030.0,30676.0,43977.0,Low,0.0721245670754906,0.007817168567317,0.0112066639094048,0.0911483995522125,6.435717858929465,0.1083838872773653,1.5603017768890524
Instagram,#Music,Post,USA,4646060.0,21362.0,31562.0,19778.0,Medium,0.0045978743279251,0.0067932829106813,0.0042569402891912,0.0156480975277977,1.0800343798978715,1.4774142208491317,1.9325730574651296
YouTube,#Fitness,Video,USA,3901900.0,20166.0,30661.0,25363.0,Low,0.0051682513647197,0.0078579666316409,0.0065001665855096,0.0195263845818703,0.7950638700520423,1.5203550354539594,1.532772554863544
Instagram,#Fashion,Video,Japan,962137.0,319381.0,69098.0,38387.0,Low,0.3319496080080071,0.0718172152198699,0.0398976445142427,0.4436644677421199,8.319813483380223,0.2163490741494511,0.4002100798935717
TikTok,#Education,Video,Germany,3859007.0,277223.0,81798.0,46985.0,Medium,0.0718379106334868,0.0211966446290457,0.0121754119647878,0.1052099672273204,5.9001191844379175,0.2950610336767379,1.5343870250514031
Twitter,#Challenge,Shorts,UK,3837223.0,140163.0,85932.0,40674.0,Medium,0.0365271968817032,0.0223943200590635,0.0105998530708275,0.0695213700115943,3.445925015365704,0.6130818184412545,1.5312114833536354
Instagram,#Comedy,Post,UK,1029488.0,449148.0,87211.0,35005.0,High,0.4362828901356791,0.0847129835413331,0.0340023390267783,0.5549982127037906,12.830600468491117,0.1941694181663546,0.4282253719890965
Twitter,#Fashion,Post,Germany,879364.0,232290.0,7501.0,23547.0,Low,0.2641568224307568,0.0085300285206126,0.0267773072356839,0.2994641581870533,9.864532019704434,0.0322913931232807,0.3509027895558289
TikTok,#Comedy,Live Stream,USA,4828597.0,131837.0,43770.0,9395.0,Low,0.0273033761152566,0.0090647448938066,0.001945699755022,0.0383138207640853,14.031183482332908,0.3319983616256314,1.9199075269887127
YouTube,#Education,Video,India,3487375.0,107303.0,83451.0,45313.0,High,0.0307689881357754,0.0239294598372701,0.012993440625112,0.0676918885981576,2.367987818334289,0.7777063296801611,1.3699358488216642
TikTok,#Dance,Tweet,India,3418884.0,311286.0,82479.0,7832.0,High,0.0910490089748584,0.0241245388846184,0.0022908060057024,0.1174643538651794,39.74032937571812,0.2649612736799159,1.359388891949624
YouTube,#Challenge,Reel,Brazil,1337059.0,318166.0,72711.0,32791.0,High,0.2379595814395625,0.0543812950662611,0.0245247217961211,0.3168655983019448,9.702549402293242,0.2285309287261092,0.5252331785625709
TikTok,#Education,Live Stream,Canada,707841.0,133933.0,46058.0,45912.0,High,0.1892133967939127,0.0650682851092265,0.0648620240986323,0.3191437060017716,2.91710408816675,0.3438857944957964,0.2814459901729669
TikTok,#Fitness,Shorts,Australia,1851460.0,345987.0,13274.0,43872.0,Low,0.1868725222257029,0.0071694770613461,0.0236958940511812,0.2177378933382303,7.886103070225423,0.0383654924448246,0.736162489832662
Instagram,#Fashion,Tweet,Canada,1438248.0,223413.0,84930.0,42774.0,Low,0.1553369099070536,0.0590510120646786,0.0297403507600914,0.2441282727318237,5.222980713033314,0.3801462755243628,0.5982530003385897
Instagram,#Fashion,Live Stream,Brazil,4027409.0,80497.0,44156.0,14597.0,Medium,0.0199872920778594,0.0109638728025884,0.0036244146050227,0.0345755794854706,5.514248527195506,0.548535367338319,1.6752392618245526
Instagram,#Music,Video,India,3488909.0,443844.0,19877.0,22056.0,Low,0.1272156998075903,0.0056971964588356,0.0063217469988469,0.1392346432652729,20.12259146756132,0.0447836519505683,1.4512450406037822
TikTok,#Fitness,Video,USA,1089083.0,150418.0,45387.0,25632.0,Medium,0.1381143585934221,0.0416745096562888,0.0235353962921099,0.2033242645418209,5.868138727421683,0.3017371475677939,0.4330323382165561
YouTube,#Tech,Live Stream,Brazil,4849297.0,86843.0,16843.0,14705.0,Low,0.0179083689862674,0.0034732869527273,0.0030323983043315,0.0244140542433264,5.905276757785938,0.1939454654322693,1.904935890715323
Instagram,#Challenge,Tweet,USA,4283565.0,107901.0,84854.0,4738.0,Low,0.0251895325505741,0.0198092009809586,0.0011060880364836,0.0461048215680163,22.768727579658155,0.786398769253582,1.78178979800102
Twitter,#Viral,Post,USA,3940355.0,82304.0,68754.0,15897.0,Low,0.0208874581097388,0.0174486816543179,0.0040344080672934,0.0423705478313502,5.177003396653667,0.835356296701294,1.5723654383625645
Instagram,#Education,Reel,Canada,964498.0,194879.0,76029.0,34998.0,High,0.2020522593100245,0.0788275351530018,0.0362862338750313,0.3171660283380577,5.568130518014801,0.3901323891625616,0.4011921604066678
TikTok,#Tech,Shorts,UK,636824.0,363548.0,17456.0,8176.0,Low,0.570876725751542,0.0274110272225921,0.0128387121088401,0.6111264650829743,44.45982634217928,0.0480155357324597,0.2532087873490084
TikTok,#Comedy,Reel,India,4179125.0,94325.0,72341.0,7328.0,Low,0.0225705141626536,0.0173100828522717,0.0017534771034606,0.041634074118386,12.87010506208214,0.7669253440196765,1.6616697445917945
Instagram,#Gaming,Video,Brazil,1292958.0,95304.0,3716.0,44880.0,Low,0.0737100509065259,0.002874029937554,0.0347111043050122,0.1112951851490922,2.123482097101223,0.0389906090971092,0.5378182363624231
Instagram,#Viral,Reel,UK,4103477.0,75909.0,5645.0,4052.0,Low,0.018498702441856,0.001375662639269,0.000987455272687,0.0208618203538121,18.72908956328645,0.0743643788697141,1.7068804733748248
Twitter,#Education,Reel,Germany,3529777.0,68367.0,38326.0,879.0,High,0.0193686456679841,0.0108579097206424,0.0002490242301425,0.0304755796187691,77.68977272727273,0.5605838989000702,1.4085277493847883
