PC1,PC2,PC3
6.3840294,2.6674333,5.3484535
2.8720162,2.7309003,5.6242747
6.0386524,2.597681,1.7237917
3.7151554,4.7618356,5.489355
6.743652,4.595315,6.6006083
2.9872036,5.940432,3.6195903
4.783203,3.5779934,1.6098171
5.859241,2.6122222,1.7674264
4.609244,5.7487497,5.9368196
6.0680737,3.7493353,5.526602
6.2403603,6.566979,3.862269
6.3308573,2.3014216,4.7964478
5.5988894,2.8235912,1.6209228
7.0884485,5.0024576,5.285728
6.9064393,6.3032784,3.174404
6.1268916,2.303012,5.7853575
4.9863763,1.783057,5.2773232
3.1937041,7.3031087,3.2392173
3.7614,5.3472075,5.6947384
2.9637816,3.6060398,2.472025
3.5653496,7.007006,3.9577382
6.833805,4.6373014,6.615772
3.9952095,2.1955872,4.879409
4.054101,5.0884385,6.712992
5.466393,3.1023533,2.716573
4.1737576,5.0220747,6.7407165
4.6543794,6.2806697,3.6683793
6.9428315,2.6387322,2.99878
6.2788553,5.1484594,6.536093
6.595306,6.1558475,2.6296122
6.794989,3.3602357,2.3863325
3.1196659,7.028161,3.42569
6.3621163,5.1418896,6.3081846
6.1000285,3.0729067,4.4378233
3.3387272,6.2385964,2.961418
2.9146888,2.6645691,5.2903557
7.144309,5.1620245,5.7354574
5.359033,3.1943083,2.0924914
5.9632697,5.5177317,6.3298435
2.9709122,3.1817305,2.9926438
2.8459623,5.459427,6.011601
3.904507,5.315829,5.868297
3.4709532,7.020057,4.0389056
6.7124286,6.3945293,3.8315344
6.5142727,6.4930143,3.3043735
3.204696,5.011025,6.760956
3.0551264,5.574555,5.8246217
6.805454,2.7083035,2.6844506
6.6388097,6.549991,3.56178
6.1438217,2.681992,5.5501027
2.9253411,5.8472247,3.652842
3.2056952,5.34738,5.949811
6.9355955,4.769962,5.35154
3.0212772,7.2633743,3.2365685
6.696097,5.857992,3.546091
5.6452074,2.4645326,5.0559855
6.889359,5.760129,3.4637
5.605179,5.0687213,5.9112144
4.2594805,2.691367,5.0804596
6.8085523,3.4508004,2.9126084
4.121341,2.8109603,4.7546744
6.999924,3.8291345,2.7902927
3.2364175,4.6446915,6.018952
7.107518,2.2595732,4.69547
2.888407,2.2283804,5.433221
5.8853407,6.576453,3.1436276
6.7641377,2.099769,5.1086216
3.1769032,5.47256,5.4606094
6.0181236,3.8009012,1.7250838
3.9502733,7.1024375,3.3765275
4.5683107,3.0371482,2.1234248
5.623998,3.5325592,1.9758096
6.3199377,2.2684722,5.7950487
3.8271437,6.4523807,3.1644268
6.971103,5.9075103,2.9963648
4.477311,6.6776,3.5715196
5.261123,5.6398325,6.3235254
6.144078,2.1967494,5.111822
4.287522,3.5254471,1.3954307
3.4701464,2.7417111,2.2849135
5.7663946,2.123465,5.673765
3.720491,2.7506628,4.6880608
6.779587,6.5915046,3.879085
6.1648345,2.4879348,5.2339444
6.581335,5.9731293,3.5039904
2.8478146,6.955174,3.2028964
6.731709,5.4427204,3.1637678
6.6064906,6.513078,3.1460724
3.3864007,5.04818,5.3027806
3.0858073,2.4018486,6.0856347
3.413149,2.6940703,4.631339
2.6969342,4.900486,5.9933224
3.3457942,5.1214023,5.577524
6.982434,3.822535,2.73846
6.5792484,2.3845813,4.5231485
6.5044775,5.86271,3.2121265
4.287292,4.8077435,5.5416546
5.4752636,2.5329483,2.4619405
2.7123759,2.7379658,2.1475928
2.9282134,6.6462216,3.5866625
4.6516123,4.635503,6.573791
6.2706566,4.563381,5.8488173
6.02187,2.9215584,5.0487013
5.665026,3.2214937,2.984434
5.7912555,3.0461466,2.074538
2.8224018,3.8896194,2.4397645
6.7264233,2.7943633,5.353853
2.8231452,6.21374,2.7469301
4.6482034,1.7776918,5.2273965
4.6633034,2.804976,5.502022
2.7467506,2.6893005,2.2197218
5.2563825,2.0571268,4.468097
5.4089446,5.6777825,5.829334
3.777768,5.098408,5.914041
6.8522677,6.270102,2.7799468
7.0075817,2.1723666,5.003733
6.6159077,5.911136,3.17827
3.4174592,1.9541578,5.3567014
6.520032,4.420806,6.3503957
2.8860614,3.5224104,2.5465972
5.8193607,2.9049063,1.776331
4.845397,5.652257,6.6307664
6.7419176,5.7519245,3.6549246
6.268214,6.2468147,2.4813561
6.883805,2.6253138,2.8424459
4.3412914,3.0463688,2.1165926
4.9852242,6.9260035,3.3342593
6.491858,4.5870647,5.766682
2.8151183,3.6933956,2.5062191
3.719172,2.0975513,4.825597
3.7433834,6.1984253,3.8427224
6.897137,6.570694,3.1057477
5.731892,3.5846968,2.3285124
4.534213,4.807867,6.496928
3.1420016,2.7006688,2.314182
3.661776,3.639148,2.8107276
6.9905715,5.7870092,3.436597
2.4342127,2.806205,2.7374382
3.3741105,5.083918,5.250472
2.7141595,3.555474,1.7350048
4.882265,2.303303,5.77679
2.7313452,2.7322502,2.3616722
5.6858473,3.1964066,3.0255878
5.3787265,6.3322625,3.0096986
3.4446065,5.141173,6.7929215
4.3712893,4.793356,6.572269
6.414834,3.8494434,1.9744021
5.981881,4.640975,6.6813216
5.968275,2.9103293,1.8067186
3.0716865,4.940003,6.1106524
2.8832572,3.5502455,1.5546533
5.709131,2.8930373,5.46865
6.563688,6.746361,3.6512942
3.666724,5.747897,6.6091447
3.975579,2.5899866,5.6505475
6.3283896,5.0594077,6.8555236
4.584545,1.7355243,5.2861423
5.091903,6.502533,3.04016
3.0143974,6.728802,3.8059783
3.8919787,3.463171,1.7226838
6.1691647,2.5753393,4.86614
6.4173875,2.3530493,4.9104447
4.987574,3.201004,2.1091135
6.615554,6.637733,3.7522068
2.8123446,7.010475,3.105584
4.643885,3.4951007,1.4790641
4.2142406,3.405996,1.8559227
3.7399697,5.790337,6.7399616
6.4087276,2.0329642,4.461003
4.550697,2.8171406,5.4767895
4.495421,3.5482857,1.4273126
6.9623337,5.619623,3.5222874
2.8112411,3.6931772,2.5107336
5.05694,1.7352915,5.285172
6.535934,2.401245,5.5446577
6.8783226,3.0076077,5.3272877
3.7148352,4.9856567,5.712242
3.0011897,6.717977,3.6343737
6.9393888,3.7179687,2.9069622
3.043701,2.3093133,4.9186115
2.8539522,2.1944528,5.4590826
2.719552,3.4385765,1.8221396
3.821871,6.642182,3.798879
5.4569077,1.7943381,4.8661757
6.7555623,2.2873821,4.179206
3.0076618,2.0913868,5.351774
5.3483443,2.8000288,1.9027898
3.8997114,1.9229307,4.5174503
6.447234,2.757058,4.9376016
2.9941394,7.1709514,3.182268
2.915552,4.8349915,6.0753956
2.6007185,1.9484123,5.407769
6.2714543,4.490324,5.827514
6.5014606,5.4282484,5.780362
3.4088902,4.784366,5.725211
3.8282456,6.1289406,3.5408554
6.7947264,2.263112,4.36241
6.5891004,5.0453997,6.8173103
2.7105305,6.3495975,3.1847994
6.384321,5.296046,6.2993145
2.9525096,2.2484877,5.325801
5.97423,1.8645182,4.647829
3.8160133,2.715492,4.6833134
3.4944637,2.179412,5.520183
5.9967837,2.6692927,1.7146883
3.0530803,7.1931825,3.39305
2.6621585,6.1375155,3.3144999
4.378267,5.321955,5.951952
3.8605182,5.12633,6.0643487
4.9036508,5.6116414,6.694845
2.6665885,3.5351813,1.7053707
3.429229,3.5065637,1.5166861
2.77544,6.980698,3.1215026
6.7198086,2.582556,5.6193132
3.5805526,5.804547,6.3457236
4.5705194,1.7844957,5.244226
4.688818,3.5457113,1.56688
4.369393,1.926154,5.4722304
3.6013591,5.714966,6.5501394
5.306046,5.850787,6.350514
4.9111466,5.0895233,6.3266783
3.1013336,5.6913466,6.0586534
5.679833,3.7708857,2.3203838
6.160757,6.7016993,3.0748022
6.0264993,2.8335767,1.777398
3.9587023,5.837959,6.7080483
6.927939,3.5653198,2.4701154
6.697799,5.2731843,6.0183377
4.9544353,4.5507865,6.826847
6.62089,6.5049186,3.139893
6.029399,2.8350468,5.0790076
6.875408,4.839943,5.3579226
4.9814487,2.4380465,4.5906076
2.8602324,7.0133595,3.149644
6.4841456,2.0177824,5.042921
4.0488205,5.626747,6.3320627
6.2559085,6.6797414,3.788278
3.4732876,2.3852422,4.8863473
2.989604,5.6240034,3.8051517
5.083791,2.8205185,4.6467404
3.4857583,3.500537,1.5516878
5.9930673,2.8444154,1.7186507
6.5218716,2.6952,5.203194
6.5568805,5.6055093,2.5813046
5.897336,4.4383225,6.54148
6.8577375,3.8571396,2.1375074
3.0742424,5.3173513,6.6982093
5.2041836,2.5482643,2.1231484
2.635567,3.8712962,2.234464
6.383989,2.3867466,2.6914132
5.554403,5.6266513,6.2885213
2.796701,2.3592746,4.820794
6.0090303,6.366202,2.605404
3.5631459,3.4600778,1.5403868
6.288515,3.4635909,1.7371476
2.8752046,5.4219966,5.9943767
6.5012374,4.9980474,6.5058527
5.5208793,2.9439917,4.521022
3.6563451,6.8094525,3.9720256
2.792231,6.366381,2.9943297
4.1640067,5.0596995,6.7648664
3.7994466,6.7703195,3.9350424
7.0386477,4.82903,5.988595
6.871576,6.260976,2.966618
5.45091,2.7618964,1.7367138
5.0305924,4.607095,6.731466
5.6593847,6.5909257,3.5981753
6.6904926,6.670573,3.7498636
3.810096,3.504939,1.6629838
4.0753684,5.654528,6.3915167
4.6025867,2.340663,5.342536
7.202498,3.7742517,2.96761
2.1730435,3.0936203,2.51741
3.7343535,5.738661,6.3673253
3.2719047,6.6242557,3.5504982
5.560007,3.5226755,2.0473528
5.7639823,2.041148,4.4792438
4.135481,2.6652408,4.7446575
4.252692,2.7772827,5.2879105
3.1461284,5.967309,3.05981
6.639405,5.469768,3.276765
2.3902729,2.8736172,2.7635934
3.9927592,3.4839382,1.7531619
4.5476203,6.1940985,3.622242
3.2792249,1.9868548,5.2914624
5.5400124,1.9461683,4.6613803
4.620495,5.021593,6.2246633
6.845849,6.211478,3.552566
3.0034177,3.1731791,4.5762053
6.607055,3.2869635,2.8617432
4.6587625,3.319222,2.612135
6.6457605,4.4063454,5.8105006
4.3106275,2.600872,4.8281636
2.9611754,5.9932294,3.2455556
4.776544,6.6034265,2.9746416
4.0386505,2.13117,5.58502
2.7582989,6.5778837,3.0900757
6.296699,2.244861,5.803614
3.053311,6.220806,3.6043258
7.2767897,3.4464676,2.3550227
4.951904,3.0195904,2.6191082
6.0745497,2.907572,1.8734362
6.334192,2.552446,1.6626425
6.3501034,5.2917976,5.7919707
4.9162397,3.0153913,1.7152002
4.828586,1.5331007,5.158429
2.908897,5.268006,5.7891
2.5032244,6.0987625,3.413556
3.0840974,6.431476,2.94289
2.924279,1.9728006,5.4524536
2.5531898,3.5803478,1.6397054
5.9587994,6.5007563,3.931828
6.3667774,6.1763225,3.3836493
6.798546,2.2657905,4.3699856
2.9813366,3.49476,1.622693
6.7572145,5.319281,3.251387
3.3575044,2.3678262,5.9733467
2.7537613,3.2050948,1.9822423
4.4049954,2.812539,1.8677647
5.3776817,6.7824874,3.1931453
2.896984,6.9871874,3.1725268
3.1408162,6.2993803,3.59882
3.5479963,7.031334,3.1626604
5.1372833,2.5353808,2.5022783
5.627944,2.3347049,5.0725336
4.5064235,3.4082599,2.3042638
3.066594,1.9586468,5.428241
5.8214135,4.69311,6.708843
6.056918,4.7597437,5.8074913
7.060162,2.5416422,2.101375
3.9635355,2.5979037,5.543297
6.1985073,1.8389279,4.667649
3.767649,4.6706195,5.3494263
5.7920628,2.6562178,5.331383
5.758779,6.2114606,3.46912
6.312089,2.7777407,1.7986189
3.133349,5.626871,6.4651494
2.9035177,2.6123075,2.3422089
3.8860056,5.896482,6.0498815
4.6217346,1.9978124,4.6791043
4.502705,6.219348,3.6157265
3.71712,2.2381725,4.6017046
2.4609168,3.7103093,2.4277647
2.2888622,2.9776714,2.5512564
2.7390666,2.5682216,2.45895
5.7274313,6.090974,3.7149377
2.8756526,2.243654,4.76891
6.6368313,5.011461,6.610945
6.2314353,2.2182531,5.8992295
4.0770655,6.4145956,3.6727872
4.68204,6.6096373,3.0327392
3.1500957,7.0882344,3.318856
6.236746,6.2079897,2.4695299
6.691905,2.0850399,4.9932594
5.13221,2.5188446,5.6851654
5.87461,3.038795,4.4267406
2.8101356,6.333824,2.8781877
6.996568,2.5691433,1.9946064
3.5712142,5.83377,6.359544
6.0502186,5.419121,5.8507147
6.9430466,4.010662,2.1168473
2.9915326,6.3232956,2.9533746
5.312118,2.5680935,2.4571645
6.692777,2.427347,2.6726103
5.473932,6.526064,2.8725595
5.0319905,2.5657814,4.847141
5.9338093,6.0644493,3.6697521
5.336483,6.1730943,3.6209
6.004652,5.259556,6.5042744
5.202238,6.619824,2.8752558
5.164509,4.583759,6.6858296
6.531667,5.0223465,6.782938
6.501296,2.931023,2.5011678
6.2552905,3.6999428,1.915762
6.640447,6.1385407,2.6230142
6.2445536,3.895589,1.844896
3.482759,6.743823,3.9801471
6.3319473,5.220971,6.444685
7.0635495,5.0252275,6.027992
4.662482,5.00248,6.8021307
2.844259,4.7944865,6.0720577
6.5658507,5.2044144,6.045253
6.977656,4.0315213,2.0887105
6.516624,3.3180766,2.8413603
6.2609153,6.6982403,3.6579902
3.4821384,5.0345387,5.330394
3.2254043,5.6991653,3.9444008
6.68599,2.2329526,4.4221697
5.9136157,6.3085423,3.345796
6.834363,2.925261,4.546879
4.774683,3.1964495,2.0009103
6.316155,2.7420175,1.8547336
6.3078313,3.1310935,4.532874
3.0252507,2.5804596,2.3285768
2.912229,2.7199905,2.2056746
5.0337644,2.5483122,2.0981708
6.540732,4.599182,6.257371
5.6773663,6.3660135,3.33407
6.561344,6.1400642,2.653505
2.651819,6.1175256,3.2647994
4.896105,2.4566948,4.5458703
2.3740246,2.901568,2.628998
2.5980682,3.6180246,1.6758128
5.40087,1.9283239,4.5077777
2.6695445,3.9829056,2.7266624
4.338807,2.4680178,4.671216
3.8737955,5.094452,5.923613
5.855346,2.4835072,2.8056977
6.1639767,4.7650185,5.382885
2.818596,3.2755425,3.1721284
4.076917,2.9219258,1.9920617
2.8545077,3.084188,2.8328302
2.8761125,2.2612462,4.8109927
7.110438,4.931113,5.2637296
5.0258107,2.5622826,2.2363307
6.7903867,5.656673,3.134229
4.3934984,5.8530684,6.0985036
7.0910153,2.5238702,2.108595
4.245705,2.9850428,2.0316906
4.362297,2.727512,5.1135187
7.044493,4.9757032,6.016909
6.490714,6.3091106,3.0342417
2.9372447,3.1311052,2.7779744
3.7798936,2.187492,5.8658586
6.5766,5.090987,6.618205
6.4712753,2.3588815,5.843194
6.37737,5.9361386,2.6087756
6.7465897,2.7226636,4.7379236
4.3623734,6.679617,3.3095613
6.164362,6.1693106,2.8108397
6.0069866,2.689851,2.6575177
6.3033733,3.3178818,2.1083713
6.930942,6.1328154,3.640443
7.007371,3.7957835,2.7266867
6.605148,5.0670333,6.694557
7.23632,4.9497957,5.4675846
6.720103,2.9102106,5.3291245
2.677779,3.7259398,2.112932
6.9577966,3.3332322,2.2159991
6.554271,2.8029141,2.0960703
3.5120742,5.1908593,6.7675347
4.8119516,5.0258813,6.791649
6.541773,3.5669143,2.570407
4.2380576,4.854051,5.5786877
2.860877,6.8798175,3.3709319
2.5055528,2.8678834,2.2405488
3.2709405,7.129909,3.1487758
5.4301653,2.9046252,4.6540933
3.2533896,4.9654365,5.622399
3.2774324,6.5085754,3.0870094
5.7359514,1.8291905,4.6664696
3.1461709,5.140123,6.695446
6.576324,3.35195,1.9773927
7.030616,5.383397,3.645083
6.6851745,5.316102,5.5995817
3.7006526,5.8283257,6.2711983
4.734579,6.288791,2.5545604
6.673536,2.7687168,2.6079552
6.4953656,1.8720258,5.01959
7.0701995,2.518157,2.1394987
2.7594354,5.444579,5.913815
3.2129872,2.688433,4.901386
6.558276,3.216469,2.7340202
3.553046,3.058787,1.9197388
5.608928,5.1778226,5.871086
6.1595187,6.0658526,2.6819756
4.7197747,4.959161,5.5025883
2.374139,2.9437764,2.7786007
2.912347,3.2594485,2.224679
3.989408,5.9790444,3.5532835
2.6376152,5.42552,5.6995993
6.69276,3.271487,2.0695229
6.2094755,2.7594957,1.8007768
6.694048,4.8058496,5.257918
4.45232,5.7411294,6.7251472
2.5210202,2.7698202,5.080671
6.7437887,6.4395657,3.0389423
4.624362,6.8099313,3.4065063
3.710815,2.841106,4.7248087
5.873421,6.6694546,3.8461726
5.2064605,2.686961,2.6001782
5.8144636,6.8323574,3.6297553
6.088721,2.3382397,5.9483895
6.1868477,6.577124,3.7806547
6.489488,3.1156387,2.0715213
7.131863,3.7140224,2.2845066
6.736343,2.6875687,1.8968128
6.124337,5.5455217,6.199177
6.4416876,4.6259375,6.275485
6.5936685,3.362658,2.918634
6.3329816,5.000508,5.4896655
5.2975345,6.4421206,3.377758
3.0626807,1.9686046,5.1725893
3.8816254,3.4610014,2.6048875
4.060063,4.8212886,6.5750923
5.541217,6.2040825,2.7060115
5.7865543,5.8248878,3.1482253
4.2469573,1.9471712,5.4403815
2.9125783,5.8098683,3.813459
3.6222837,2.5517724,4.8578663
4.7411184,2.7308607,2.3983283
6.4254503,2.3164494,5.7735662
2.631987,2.7963784,4.8037524
3.1067865,2.3551927,4.669752
5.5047946,2.8381326,4.5541453
7.070492,5.0103674,6.100806
6.183702,6.635507,3.2290783
5.115507,2.7476213,4.670505
3.748102,5.278233,5.788145
4.695519,4.9571705,6.1139026
5.1094384,5.613709,6.6200123
3.7335029,2.8410888,4.748469
5.507543,6.095408,3.6185215
3.16072,6.404737,3.5316274
4.0270123,2.8877842,2.7853234
5.3196573,2.6069276,5.695319
6.494628,6.081794,2.683554
3.5361497,6.5085545,3.0188138
3.197134,6.908905,3.1842813
5.587198,6.4151998,2.5163498
3.183657,5.7193317,6.4557424
3.9560716,2.7044644,5.6763487
5.0834503,4.5395393,6.8474817
6.127637,2.8537903,1.8330904
5.2809424,2.532056,2.173222
5.417522,6.158379,3.8196273
6.975183,2.9748378,5.307997
3.3099866,6.813558,3.9577205
5.0659246,3.1806877,1.7749639
4.894696,2.738113,5.520402
5.4753504,2.7503052,1.6594795
4.8406963,4.9178905,5.784977
4.7397237,6.3017864,2.546914
6.9035373,4.562409,6.55489
4.308045,6.1064024,5.8642273
2.8534994,6.1455793,3.2762659
6.2900295,5.633129,6.176718
5.3938026,2.5822136,5.190179
3.026468,6.304209,4.01056
5.984986,2.0871668,4.579531
5.281503,2.4213686,4.6644526
4.7328296,5.2095103,6.0037518
2.697112,3.5055373,2.2628138
6.1345096,6.8185897,3.571427
2.796519,2.5901923,2.3263156
3.2747476,3.1832488,1.7717514
4.5015535,2.7373967,5.1124825
5.792753,2.9224288,5.0939717
6.9400578,2.6216447,2.7693193
6.796198,5.06559,6.616696
6.4715943,6.0018454,2.4571586
6.1802993,6.1248813,2.676033
3.2189498,7.25784,3.148958
3.33436,5.627752,6.568369
5.150114,2.1548464,5.6885653
4.9300065,5.8260884,3.157016
4.813865,4.61856,6.8261604
5.6502447,5.765896,3.2906525
3.2340822,2.9439232,2.1777816
3.9341319,2.1860003,5.7832785
7.0387874,5.798308,3.107597
2.3829646,2.8777199,2.8109906
2.8897054,5.4095583,3.2915227
4.863356,6.1503415,2.79721
2.8244388,2.6148565,5.1198235
5.9554243,5.813042,3.6055822
3.0422566,6.8727903,3.1556387
5.746284,6.368453,3.2565732
6.7238173,5.2719345,5.588103
6.9788756,4.919272,6.117762
6.7324686,6.164053,2.9096882
6.2108502,2.315518,5.7372603
5.859953,3.2165244,3.0973456
6.5939727,2.6327136,5.155961
2.813283,2.194625,5.72425
3.3060524,6.2423415,3.81363
3.395122,5.694254,5.861292
4.2627063,4.890536,5.5627413
4.7111855,3.5606313,1.5919083
6.8466854,3.3211586,1.9230975
6.130024,5.9774637,3.4466648
5.9518538,3.2235231,3.1246076
3.070224,6.4378476,3.078022
5.1913223,4.6003838,6.592937
5.043971,3.0443268,1.8419445
6.046196,2.8752217,4.727839
3.486985,6.139728,3.0016954
2.3555348,2.5331972,5.349433
6.4073477,5.5387135,5.793082
6.3897395,5.2705383,6.461637
6.711344,4.977807,5.401699
4.8695545,6.043923,6.39913
3.7616694,6.5425787,3.0380518
6.169179,4.9670396,5.9292274
3.3673892,3.1129463,1.855795
3.0273504,2.1295571,4.70038
3.198038,6.3910966,3.393871
4.870056,6.0168962,6.394652
4.601998,6.2885194,3.6765082
5.087628,2.3189087,4.5803757
6.267113,2.7199826,1.7192687
4.6421466,2.4946578,5.7924232
6.360617,2.3584569,5.691358
6.7377305,3.691401,2.3942583
3.3862991,3.5271935,1.4619485
5.385099,6.588873,2.8457518
5.9438963,5.9639153,3.5391707
4.8568316,6.017162,6.40773
6.034581,2.9576857,4.509752
3.8017418,6.474838,3.647574
7.2654366,3.460191,2.1456258
2.9080563,3.6000836,1.5104831
4.7368345,1.9905165,4.6604476
3.34226,4.84757,5.666743
5.5287,1.9867077,4.5992293
3.311191,6.83861,3.8973756
4.3782334,2.992118,2.4388294
5.1173487,2.6949232,5.553795
5.863645,2.685118,5.4502563
4.865291,2.06083,5.6555123
4.089153,2.6800063,4.6553235
2.9443402,2.278344,4.7504554
6.479728,3.338505,2.0644112
5.2738123,2.39653,4.6473045
7.273239,5.0045967,5.3667192
3.6715486,6.0594883,2.969883
6.61312,5.80792,3.1505098
2.9062083,6.6589627,3.700387
6.5281253,4.68353,6.396644
6.709732,5.860631,3.5061529
2.7656038,6.475085,3.515974
4.8023953,2.534417,5.7212934
2.7953131,3.8696015,2.4265122
6.949827,2.8678398,5.4871993
5.65922,3.2462273,2.9514039
6.7730155,2.7955525,2.8737152
3.9765093,6.0278635,3.5405717
2.6725717,3.5713987,1.7894903
3.709689,5.8569665,6.300465
5.702794,2.1074965,5.59088
6.7055664,3.1843033,4.6628413
6.2630773,6.7743134,3.7463605
5.6188393,6.2794495,3.7441914
2.8180926,4.7847643,6.06566
6.392112,2.720253,1.7948534
6.71128,2.832964,1.9688592
4.139928,3.4810102,2.4695861
6.9272017,2.651515,2.5806634
4.6213837,6.1631083,2.7234728
2.9224157,4.7104864,6.155896
7.087418,3.3137627,2.2026274
3.0479748,6.1511903,3.1757243
3.6989686,2.075041,5.557552
5.347313,4.8662205,5.922643
2.6751437,3.407254,1.7563775
4.829299,4.992976,6.136342
6.8134856,2.909507,2.6430228
4.7875466,2.6935842,1.7471665
3.004635,3.16096,2.8460312
3.1767936,5.6639433,6.430636
3.1718013,5.725822,6.4468064
5.442526,1.843886,4.76399
6.2903485,2.245547,4.5087547
6.516228,5.577088,3.173036
5.1504755,6.4133425,3.1511297
6.151445,6.094387,2.858773
6.6848373,2.9377573,5.162079
6.295986,2.7372081,2.5118508
3.1550498,7.0056667,3.2638478
4.9009466,5.3780007,6.672662
6.137131,2.1053412,4.509279
3.173272,2.5583432,4.7875285
2.8265467,2.0036118,5.4439406
3.4015718,5.9142156,3.376922
6.3446093,2.195602,4.7919
6.9688425,3.2804909,2.068461
2.7779057,2.9260945,5.565633
2.6258452,2.8408024,5.037979
4.8511157,3.0049996,2.1199207
2.8538363,6.09658,3.4624462
6.8445415,6.4268203,2.9847023
5.3346696,5.730145,5.7795663
3.0727944,5.9876533,3.727467
2.7819815,3.4685154,2.5216057
3.4822512,6.2911057,3.012067
2.3082087,2.8549159,2.7680442
2.808305,6.9719296,3.11272
6.1687183,2.7715802,4.9197874
2.530868,3.580712,1.6678392
3.2386227,6.1033745,3.5315678
3.1276524,2.8302283,4.9631124
6.764402,4.4367113,5.7682743
6.456434,5.0467234,6.8436027
6.8118925,3.9027503,2.123276
5.085028,1.9735993,4.5497637
2.829295,3.1575842,2.7268722
6.6937404,5.6661744,3.1131396
6.1209126,5.9501715,3.4152482
4.4097896,6.802424,3.5958388
2.8453355,7.008118,3.0408196
5.057285,5.0052123,6.648934
6.932799,5.005253,6.3177824
6.822058,3.9729917,2.032256
6.504733,5.8151774,2.6096454
6.9726954,2.4948092,2.7535238
6.1057215,5.862629,3.2423818
6.7269626,4.9324756,6.4831476
6.252491,6.667084,3.915402
2.7220247,2.1661735,5.2028027
2.9268937,7.2037725,3.4739625
5.450468,6.623461,3.530089
2.9863625,5.750424,3.8959153
4.2317777,4.998707,6.0168996
3.324569,2.1083105,5.5853934
5.1289887,2.1291811,4.422213
6.225861,5.22151,6.6205177
4.0240736,2.401859,4.6474876
2.8193674,2.0098417,5.423769
5.2904677,2.4168677,4.6758885
3.1468525,3.0190415,4.913097
6.786425,5.959665,3.687859
3.9673898,2.8244827,4.8873453
5.741326,5.749417,3.6279993
4.747906,1.9238831,5.5038624
3.2863345,5.1758986,6.6428022
6.320375,3.801289,2.6076305
6.641849,6.075243,2.5655355
2.9797828,2.5154698,2.329751
4.138072,6.911821,3.3529203
3.3189423,2.7711866,2.327846
2.6051087,1.9762033,5.4040976
4.7150974,5.988215,3.3045547
4.1210485,5.2134495,5.966957
6.381497,3.9107814,1.865268
6.5556297,5.0421863,6.880995
5.220742,2.870071,1.9965463
2.7764122,3.432544,1.6915572
6.5410647,5.7436786,3.5678244
4.9938655,2.7383978,2.4314756
5.842741,2.9278505,5.488272
